,やっぱり,"also,as I thought,still,in spite of,absolutely,of course"
,いちばん,"best, first"
,では,with that...
,ハンサム,handsome
,パスポート,passport
,レジャー,leisure
,おまえ,"(fam) you (sing),presence (of a high personage)"
,こちらこそ,it is I who should say so
,あ,Ah
,くっつく,"to adhere to,to keep close to"
,かかる,to take time or money
,そっくり,"all,altogether,entirely,be just like,the splitting image of"
,ページ,page
,しゃぶる,"to suck,to chew"
,おさきに,"before,ahead,previously"
,ブローチ,brooch
,つまり,"in short,in brief,in other words"
,ミス,"miss (mistake, error, failure),Miss"
,なお,"straight,mischief,ordinary,common"
,しあさって,two days after tomorrow
,やかましい,"(1) noisy,(2) strict,fussy"
,どうも,thanks
,ロケット,"locket,rocket"
,ぐっすり,"sound asleep,fast asleep"
,クーラー,"cooler,air conditioner"
,たぶん,probably
,たまに,occasionally
,または,"or,otherwise"
,オルガン,organ
,あした,tomorrow
,うち,within
,セーター,"sweater, jumper"
,しゃっくり,"hiccough,hiccup"
,コピー,"(1) a (photo)copy,(2) blurb on a book jacket"
,へる,"to decrease (in size or number),to diminish,to abate"
,あたりまえ,"usual,common,ordinary"
,くたびれる,"to get tired,to wear out"
,あらゆる,"all,every"
,いっぱい,full
,おいでになる,(respectful) to be
,ダイヤグラム,diagram
,かばん,"bag, basket"
,なぜなら,because
,ひどい,awful
,それから,after that
,パソコン,personal computer
,バッグ,"bag,bug"
,ちょうど,exactly
,しばらく,little while
,テレビ,television
,もしも,if
,だんだん,gradually
,ほど,extent
,それなのに,and yet; despite this; but even so; but even then; however; nevertheless; for all that; notwithstanding that
,みっともない,"shameful,indecent"
,ヨット,yacht
,おどかす,"to threaten,to coerce"
,スプーン,Spoon
,そうして,"and,like that"
,その,That
,レンズ,lens
,シーツ,sheet
,アウト,out
,あわてる,to become confused
,おいしい,delicious
,じゃんけん,(n) rock-scissors-paper game
,いつまでも,"forever,for good,eternally,as long as one likes,indefinitely"
,おととい,day before yesterday
,みじめ,"(arch) sad,pitiful,wretched"
,スタート,start
,プレゼント,present
,カップ,Cup
,あてはまる,"to be applicable,to come under (a category),to fulfill"
,ジュース,"juice,soft drink,deuce"
,そろそろ,"gradually,soon"
,いつか,"sometime,someday,one day"
,やたらに,"randomly,recklessly,blindly"
,くしゃみ,sneeze
,すく,to become empty
,サンダル,sandal
,サンドイッチ,sandwich
,そっと,softly; gently; quietly
,モーター,motor
,おめでとう,"Congratulations!,an auspicious occasion!"
,まだ,"yet,still"
,サークル,"circle,sports club (i.e. at a company)"
,おまちどおさま,Sorry to have kept you waiting
,ライター,"lighter,rider,writer"
,なかなか,"very,considerably,easily"
,ほんとう,truth
,クリスマス,Christmas
,ところが,"however,while,even if"
,こう,this way
,どんなに,"how,how much"
,どっち,which
,ボール,"ball,bowl"
,ビルディング,building
,スカート,Skirt
,ふざける,"to romp,to gambol,to frolic,to joke"
,ベンチ,bench
,あげる,to give
,ダム,dumb
,で,"outflow,coming (going) out,graduate (of)"
,いいえ,no
,コンピューター,computer
,そんなに,"so much,like that"
,かまう,to mind
,バター,butter
,マスク,mask
,パート,part time
,おだいじに,Take care of yourself
,キャンプ,camp
,まじめ,serious
,こと,"thing,matter"
,オーケストラ,orchestra
,おしゃべり,"chattering,talk,idle talk"
,あかちゃん,infant
,ずいぶん,extremely
,おじゃまします,Excuse me for disturbing you
,キロ,"(abbr) kilo-,kilogram,kilometre,10^3"
,なぜ,why
,カメラ,camera
,いち,"market,fair"
,ガソリンスタンド,petrol station
,ヘリコプター,helicopter
,かわいがる,"to love,to be affectionate"
,カーテン,curtain
,モダン,modern
,おかけください,please sit down; please have a seat
,きつい,"tight,close,intense"
,いきなり,"(uk) abruptly,suddenly,all of a sudden,without warning"
,あさって,day after tomorrow
,スーツケース,suitcase
,シーズン,season (sporting)
,コース,course
,チップ,"(1) gratuity,tip,(2) chip"
,ガス,petrol
,あわただしい,"busy,hurried,confused,flurried"
,まるで,"quite,entirely,completely"
,クリーム,cream
,ありがとう,"(conj,exp,int) Thank you"
,ジャム,jam
,だが,but; however; (and) yet; nevertheless; still; for all that
,バイオリン,violin
,ガソリン,petrol
,どなる,"to shout,to yell"
,ショップ,a shop
,チェック・する,to check
,クリーニング,"cleaning,dry cleaning,laundry service"
,とこや,barber
,テスト,test
,あんな,such
,ええと,"let me see,well,er...."
,アルコール,alcohol
,くだらない,"good-for-nothing,stupid,trivial,worthless"
,どなた,who
,うまい,delicious
,タイア,"tire,tyre"
,バイバイ,bye-bye; good-bye; see you; so long
,こんばんは,good evening
,もし,if
,でたらめ,"(1) irresponsible utterance,nonsense,nonsensical,(2) random"
,トランプ,playing cards (lit: trump)
,テニスコート,tennis court
,カバー,cover (ex. book)
,もちろん,of course
,はあ,1. yes; indeed; well​ 2. ha!​ 3. what?; huh?​ 4. sigh
,キャプテン,captain
,ナイロン,nylon
,びっくり・する,to be surprised
,アパート,apartment
,どんな,"what,what kind of"
,どうぞ,please
,まさか,by no means
,もしかしたら,"perhaps,maybe,by some chance"
,かもしれない,"may,might,perhaps,may be,possibly"
,いくら,how much?
,どれ,which (of three or more)
,そのうち,"eventually,sooner or later,of the previously mentioned"
,よく,"often, well"
,こんなに,"so,like this,in this way"
,おなか,stomach
,ええ,yes
,おっしゃる,(respectful) to say
,セット,set
,すばらしい,wonderful
,よると,according to
,ここ,Here
,あちら,there
,オイル,"oil,engine oil,kerosene"
,いらいら,"getting nervous,irritation"
,スライド,slide
,グラス,"(1) glass,(2) grass"
,いつも,always
,かわいい,Cute
,オートバイ,motorcycle
,コンセント,"(1) consent,(2) concentric"
,どんどん,more and more
,バン,"bun,van (caravan),VAN (value-added network)"
,チーム,team
,おくさん,"(hon) wife,your wife,madam"
,ノート,"notebook,exercise book"
,じゃあ,"well,well then"
,おもしろい,Interesting
,めでたい,"happy,simple soul,propitious,joyous"
,におい,a smell
,せっけん,Economy
,とんでもない,"unexpected,offensive,What a thing to say!,No way!"
,たばこ,"tobacco,cigarettes"
,すごい,"terrible,dreadful,terrific,amazing,great"
,ドア,Western style door
,トレーニング,training
,フォーク,fork
,あっ,"Ah!,Oh!"
,いつでも,"(at) any time,always,at all times,never (neg)"
,かぎ,Key
,ネクタイ,"tie,necktie"
,いす,chair
,トンネル,tunnel
,ちゃん,suffix for familiar female person
,はじめまして,"How do you do?,I am glad to meet you"
,パターン,pattern
,こっち,this person or way
,カセット,cassette (tape)
,ぼんやり,"absent-minded,block-head,dim,faint,vague"
,そこ,that place
,カー,car
,あんまり,"not very,not much,remainder,rest"
,ひとまず,"for the present,once,in outline"
,バンド,band
,すっきり,"shapely,clear,neat"
,タイプライター,typewriter
,たくさん,many
,のんびり,"carefree,at leisure"
,まさに,"correctly,surely"
,とうとう,"finally, after all"
,そこで,"so (conj),accordingly,now,then,thereupon"
,こんな,Such
,あいまい,"vague,ambiguous"
,かわいそう,"poor,pitiable,pathetic"
,おしゃれ,"smartly dressed,someone smartly dressed,fashion-conscious"
,プラン,plan
,メーター,meter (clock)
,うれしい,glad
,うんと,"a great deal,very much"
,エスカレーター,escalator
,ダイヤモンド,diamond
,おやつ,"(1) between meal snack,afternoon refreshment"
,おまわりさん,friendly term for policeman
,けち,"stinginess,miser,miserliness"
,たいてい,usually
,インキ,ink
,あと,"(1) trace,tracks,(2) remains,ruins,(3) scar"
,ぜんぜん,not entirely (used in a negative sentence)
,ステージ,"(1) stage,(2) performance"
,かるた,(n) playing cards (pt: carta)
,ほどく,to unfasten
,すまない,sorry (phrase)
,たて,"length,height"
,おそらく,perhaps
,ぺん,pen
,そのほか,otherwise
,パイロット,pilot
,かっこう,appearance
,ペット,pet
,より、ほう,Used for comparison
,いらっしゃい,welcome
,ママ,Mama
,これら,these
,アイデア/アイディア,idea
,ちっとも,not at all (used with a negative verb)
,インク,ink
,ぬれる,to get wet
,うそ,a lie
,クラス,Class
,どう,"how,in what way"
,どうして,for what reason
,あげる (=やる),to do for
,ためらう,to hesitate
,これから,after this
,パン,bread
,このごろ,"these days,nowadays"
,コック,"(1) cook (nl:),(2) tap,spigot,faucet,cock"
,タオル,(hand) towel
,じゃ/じゃあ,well then…
,おめでたい,"happy event,matter for congratulation,auspicious event,pregnancy"
,ばったり,"with a clash (thud),with a bang,plump,flop"
,ミシン,sewing machine
,アンテナ,antenna
,シャワー,Shower
,ですから,therefore
,ポスト,post
,コンピュータ/コンピューター,computer
,ほか,"other, the rest"
,スター,star
,あるいは,"or,possibly"
,ビデオ,video
,かしこまりました,certainly!
,かゆい,"itchy,itching"
,めっきり,remarkably
,あちこち,here and there
,ボート,rowing boat
,すっぱい,"sour,acid"
,そう,really
,そそっかしい,"careless,thoughtless"
,おや,parents
,くどい,"verbose,importunate,heavy (taste)"
,ぶどう,grapes
,ブラシ,"brushy,brush"
,フリー,free
,なる,to become
,ゼミ,(n) seminar
,しばしば,"often,again and again,frequently"
,さあ,well…
,うろうろ,"loiteringly,aimless wandering"
,そのうえ,"in addition,furthermore"
,ピアノ,piano
,イコール,equal
,いつのまにか,"before one knows,unnoticed,unawares"
,スープ,(Western) soup
,ペン,pen
,いつ,when
,なんとも,"nothing (with neg. verb),quite,not a bit"
,ちゃんと,"perfectly,properly,exactly"
,ベル,bell
,ばつ,x-mark​
,きっと,surely
,ケーキ,cake
,スカーフ,scarf
,ブレーキ,a brake
,うどん,noodles (Japanese)
,あくび,yawn
,こぼす,to spill
,サイン,"(1) autograph,(2) sign,(3) sine"
,しっぽ,tail (animal)
,やる,to do
,うっかり,"carelessly,thoughtlessly,inadvertently"
,しかも,"moreover,furthermore,nevertheless,and yet"
,テンポ,tempo
,ほぼ,"almost,roughly,approximately"
,あそこ,over there
,ごちそう,a feast
,あの,that over there
,しまった,Damn it!
,ずうずうしい,"impudent,shameless"
,どうか,copper coin
,かなり,"considerably,fairly,quite"
,アメリカ,America
,ハンドル,"handle,steering wheel"
,どうしても,"by all means,at any cost,no matter what"
,がっかり,"feel disappointed,be dejected,lose heart"
,ぶつかる,"to strike,to collide with"
,スクール,school
,メンバー,member
,ふろ,bath
,キャンパス,campus
,なぐる,"to strike,to hit"
,ゆっくり,"slowly,at ease"
,まごまご,confused
,エチケット,etiquette
,やっつける,"to attack (an enemy),to beat,to do away with,to finish off"
,いかが,how
,ぶらさげる,"to hang,to suspend,to dangle,to swing"
,それで,because of that
,とても,very
,しゃべる,"to talk,to chat,to chatter"
,つまらない,boring
,すなわち,"that is,namely,i.e."
,まずい,unpleasant
,シャッター,shutter
,もっと,more
,リズム,rhythm
,レジ,register
,ともかく,"anyhow,anyway,somehow or other,generally speaking,in any case"
,ゆっくりと,slowly
,する,to do
,くださる,(respectful) to give
