干す,ほす,"to air,to dry,to desiccate,to drain (off),to drink up"
判断,はんだん,"judgement,decision"
短編,たんぺん,"short (e.g. story, film)"
多分,たぶん,"perhaps,probably"
身,み,"body,main part,oneself,sword"
神社,じんじゃ,Shinto shrine
鎖,くさり,chain
撮る,とる,to take a photo or record a film
合計,ごうけい,"sum total,total amount"
連絡,れんらく,contact
行う,おこなう,to do
飽くまで,あくまで,"to the end,to the last,stubbornly"
命,いのち,"command,decree,life,destiny"
食欲,しょくよく,appetite (for food)
願う,ねがう,"to desire,to wish,to request"
着せる,きせる,to put on clothes
四つ角,よつかど,"four corners,crossroads"
勉強,べんきょうする,to study
炊く,たく,"to boil,to cook"
見る 観る,みる,"to see, to watch"
覚ます,さます,to awaken
順番,じゅんばん,"turn (in line),order of things"
真っ直ぐ,まっすぐ,"straight (ahead),direct,upright"
夏休み,なつやすみ,summer holiday
氏名,しめい,"full name,identity"
生命,せいめい,"life,existence"
食事,しょくじ・する,to have a meal
夕刊,ゆうかん,evening paper
気味,きみ,"-like,-looking,-looked"
拭く,ふく,"to wipe,to dry"
集中,しゅうちゅう,"concentration,focusing the mind"
憧れる,あこがれる,"to long for,to yearn after,to admire"
治す,なおす,"to cure,to heal,to fix,to correct,to repair"
従う,したがう,"to abide (by the rules),to obey,to follow,to accompany"
国王,こくおう,king
材木,ざいもく,"lumber,timber"
楽器,がっき,musical instrument
考え,かんがえ,"thinking,thought,ideas,intention"
首,くび,neck
型,かた,"mold,model,style,shape,data-type"
議会,ぎかい,"Diet,congress,parliament"
左,ひだり,left hand side
欧米,おうべい,"Europe and America,the West"
直る,なおる,"to be fixed,to be repaired"
老人,ろうじん,"the aged,old person"
驚く,おどろく,to be surprised
連れる,つれる,to lead
月末,げつまつ,end of the month
社会,しゃかい,"society,public"
棒,ぼう,"pole,rod,stick"
休憩,きゅうけい,"rest,break,recess,intermission"
或,ある,"a certain...,some..."
環境,かんきょう,"environment,circumstance"
大きい,おおきい,big
液体,えきたい,"liquid,fluid"
関連,かんれん,"relation,connection,relevance"
実績,じっせき,"achievements,actual results"
品,ひん,"thing,article,goods,dignity,article (goods),counter for meal courses"
概論,がいろん,"intro,outline,general remarks"
大分,だいぶ,greatly
省く,はぶく,"to omit,to eliminate,to curtail,to economize"
枚数,まいすう,the number of flat things
輸入,ゆにゅう,"importation,import,introduction"
合う,あう,to match
中間,ちゅうかん,"middle,midway,interim"
力強い,ちからづよい,"reassuring,emboldened"
揚げる,あげる,"to lift,to fry"
小父さん,おじさん,"middle-aged gentleman,uncle"
宗教,しゅうきょう,religion
記録,きろく,"record,minutes,document"
衝突,しょうとつ,"collision,conflict"
思い出,おもいで,"memories,recollections,reminiscence"
清掃,せいそう,cleaning
有効,ゆうこう,"validity,availability,effectiveness"
興味,きょうみ,an interest
出来る,できる,"to be able to,to be ready,to occur (usually kana)"
練習,れんしゅう,practice
学術,がくじゅつ,"science,learning,scholarship"
関東,かんとう,"eastern half of Japan, including Tokyo"
暗記,あんき,"memorization,learning by heart"
雑誌,ざっし,Magazine
目上,めうえ,"superior(s),senior"
冷める,さめる,"to become cool,to wear off,to abate,to subside"
用途,ようと,"use,usefulness"
様々,さまざま,"varied,various"
片付ける,かたづける,to tidy up
速い,はやい,quick
会場,かいじょう,assembly hall or meeting place
品物,しなもの,goods
直接,ちょくせつ,"direct,immediate,personal,firsthand"
柄,がら,"hilt (of a sword),haft (of a dagger),handgrip"
期待,きたい,"expectation,anticipation,hope"
揃う,そろう,"to become complete,to be equal,to be all present,to gather"
集合,しゅうごう,"gathering,assembly,meeting,set (math)"
代える,かえる,"to exchange,to interchange,to substitute,to replace"
漫画,まんが,comic
英語,えいご,English language
生きる,いきる,to live
防犯,ぼうはん,prevention of crime
風景,ふうけい,scenery
中止,ちゅうし,"suspension,stoppage,discontinuance,interruption"
会話,かいわ,conversation
刑事,けいじ,"criminal case,(police) detective"
事故,じこ,accident
代る,かわる,"(v5r,vi) to take the place of,to relieve,to be substituted for"
橋,はし,bridge
部分,ぶぶん,"portion,section,part"
伺う,うかがう,"(hon) to visit,to ask,to inquire"
暇,ひま,free time
熱帯,ねったい,tropics
全体,ぜんたい,"whole,entirety,whatever (is the matter)"
開会,かいかい,opening of a meeting
英文,えいぶん,sentence in English
白髪,しらが,"white or grey hair,trendy hair bleaching"
判子,はんこ,seal (used for signature)
手術,しゅじゅつ,surgical operation
威張る,いばる,"to be proud,to swagger"
憎い,にくい,"hateful,abominable,poor-looking,detestable"
休講,きゅうこう,lecture cancelled
四季,しき,four seasons
繋げる,つなげる,to connect
庖丁,ほうちょう,"kitchen knife,carving knife"
放送,ほうそう・する,to broadcast
知識,ちしき,"knowledge,information"
思う,おもう,"to think,to feel"
一応,いちおう,"once,tentatively,in outline,for the time being"
茶碗,ちゃわん,"rice bowl,tea cup,teacup"
普及,ふきゅう,"diffusion,spread"
甚だしい,はなはだしい,"extreme,excessive,terrible"
余裕,よゆう,"surplus,composure,margin,room,time,allowance,scope,rope"
床の間,とこのま,alcove
固まる,かたまる,"to harden,to solidify,to become firm,to become certain"
元,もと,"(1) origin,original,(2) former"
表紙,ひょうし,"front cover,binding"
零点,れいてん,"zero,no marks"
金持ち,かねもち,rich man
消化,しょうか,digestion
退く,どく,"(1) to retreat,to recede,to withdraw"
商品,しょうひん,"commodity,article of commerce,goods,stock,merchandise"
百,ひゃく,hundred
小説,しょうせつ,novel
禁煙,きんえん,No Smoking!
運転,うんてん,"operation,motion,driving"
述べる,のべる,"to state,to express,to mention"
正しい,ただしい,correct
焚く,たく,"to burn,to kindle,to build a fire"
梅雨,つゆ,"rainy season,rain during the rainy season"
湿気,しっけ,"moisture,humidity,dampness"
