絶えず,たえず,constantly
物騒,ぶっそう,"dangerous,disturbed,insecure"
母親,ははおや,mother
本来,ほんらい,"essentially,naturally,by nature"
避ける,さける,"(1) to avoid (physical contact ),(2) to ward off,to avert"
失業,しつぎょう,unemployment
幼児,ようじ,"infant,baby,child"
文明,ぶんめい,"civilization,culture"
着ける,つける,"(1) to attach,to join,to add,to append"
晴れる,はれる,to be sunny
程度,ていど,"degree,amount,grade,standard,of the order of (following a number)"
通帳,つうちょう,passbook
乗り物,のりもの,vehicle
使う,つかう,to use
昇る,のぼる,"to arise,to ascend,to go up"
遠い,とおい,far
蝋燭,ろうそく,candle
仲間,なかま,"company,fellow,colleague,associate"
斜め,ななめ,slanting; tilted; sloping; diagonal; oblique
込む,こむ,to be crowded
出版,しゅっぱん,publication
民謡,みんよう,"folk song,popular song"
土産,みやげ,"present,souvenir"
経験,けいけん・する,to experience
改める,あらためる,"to change,to alter,to reform,to revise"
お手洗い,おてあらい,bathroom
お目に掛かる,おめにかかる,to meet (someone of higher status) (humble)
観察,かんさつ,"observation,survey"
凍る,こおる,"to freeze,to be frozen over,to congeal"
軒,のき,eaves
石油,せきゆ,"oil,petroleum,kerosene"
手,て,hand
長短,ちょうたん,"length,long and short,+-"
注意,ちゅうい,caution
今年,ことし,this year
全,ぜん,"all,whole,entire,complete,overall,pan"
出会い,であい,"meeting,rendezvous,encounter"
博士,はかせ,"doctorate,PhD"
文句,もんく,"phrase,complaint"
会議室,かいぎしつ,meeting room
要するに,ようするに,"in a word,after all,the point is ..,in short .."
新鮮,しんせん,fresh
答案,とうあん,"examination paper,examination script"
在る,ある,"to live,to be"
強調,きょうちょう,"emphasis,stress,stressed point"
山林,さんりん,"mountain forest,mountains and forest"
幾ら,いくら,"how much?,how many?"
お母さん,おかあさん,(honorable) mother
横,よこ,"beside,side,width"
刀,かたな,"sword,saber,knife,engraving tool"
相互,そうご,"mutual,reciprocal"
革,かわ,leather
国立,こくりつ,national
荒い,あらい,"rough,rude,wild"
