味わう,あじわう,"to taste,to savor,to relish"
印刷,いんさつ,printing
市,し,city
姿,すがた,"figure,shape,appearance"
自衛,じえい,self-defense
心配,しんぱい・する,to worry
鍋,なべ,"saucepan,pot"
空気,くうき,"air,atmosphere"
挟む,はさむ,"to interpose,to hold between,to insert"
輝く,かがやく,"to shine,to glitter,to sparkle"
打つ,うつ,to hit
学生,がくせい,Student
消極的,しょうきょくてき,passive
筋肉,きんにく,"muscle,sinew"
全然,ぜんぜん,"(1) wholly,entirely,completely,(2) not at all (with neg. verb)"
掛かる,かかる,"to take (e.g. time, money, etc),to hang"
公式,こうしき,"formula,formality,official"
突き当たる,つきあたる,"to run into,to collide with"
金銭,きんせん,"money,cash"
調整,ちょうせい,"regulation,adjustment,tuning"
生ずる,しょうずる,"to cause,to arise,to be generated"
羨ましい,うらやましい,"envious,enviable"
坊っちゃん,ぼっちゃん,son (of others)
出口,でぐち,exit
用いる,もちいる,"to use,to make use of"
法則,ほうそく,"law,rule"
新聞,しんぶん,newspaper
克服,こくふく,"subjugation,conquest"
週間,しゅうかん,"week,weekly"
瞬間,しゅんかん,"moment,second,instant"
針路,しんろ,"course,direction,compass bearing"
強力,きょうりょく,"herculean strength,mountain carrier-guide"
行く,いく,to go
遊び,あそび,play
来る,くる,to come
召し上がる,めしあがる,(polite) to eat
答,こたえ,response
比較,ひかく,comparison
題,だい,"title,subject,theme,topic"
求める,もとめる,"to seek,to request,to demand,to want,to wish for,to search for,to pursue (pleasure),to hunt (a job),"
持ち上げる,もちあげる,"to raise,to lift up,to flatter"
西暦,せいれき,"Christian Era,anno domini (A.D.)"
省略,しょうりゃく,"omission,abbreviation,abridgment"
交ざる,まざる,"to be mixed,to be blended with,to associate with,to mingle with,to join"
駅,えき,station
戻る,もどる,to turn back
地震,じしん,earthquake
留守,るす,absence
熱,ねつ,fever
具合,ぐあい,"condition,health"
透き通る,すきとおる,to be(come) transparent
目的,もくてき,"purpose,goal,aim,objective,intention"
曇り,くもり,cloudy weather
日曜,にちよう,Sunday
大して,たいして,"(not so) much,(not) very"
男,おとこ,Man
口,くち,"mouth, opening"
障害,しょうがい,"obstacle,impediment (fault),damage"
慎重,しんちょう,"discretion,prudence"
自分,じぶん,Oneself
半分,はんぶん,half minute
表す,あらわす,"to express,to show,to reveal"
国籍,こくせき,nationality
だから,だから,"so,therefore"
敵,てき,"enemy,rival"
舞台,ぶたい,stage (theatre)
踏切,ふみきり,"railway crossing,level crossing,starting line,scratch,crossover"
時々,ときどき,sometimes
分かる,わかる,to be understood
見つかる,みつかる,to be discovered
恋人,こいびと,"lover,sweetheart"
別々,べつべつ,"separately,individually"
準備,じゅんび,"preparation,arrangements,provision,reserve"
水平,すいへい,"water level,horizon"
尋ねる,たずねる,to ask
南極,なんきょく,"south pole,Antarctic"
噛む,かむ,"to bite,to chew"
平凡,へいぼん,"common,commonplace,ordinary,mediocre"
金額,きんがく,amount of money
南北,なんぼく,south and north
徹夜,てつや,"all night,all night vigil,sleepless night"
進む,すすむ,to make progress
生徒,せいと,Pupil
線,せん,line
掻く,かく,"to scratch,to perspire"
憲法,けんぽう,constitution
一つ,ひとつ,one
明日,あした,tomorrow
人間,にんげん,"human being,man,person"
塵,ごみ,"dust,dirt"
再来年,さらいねん,year after next
惜しい,おしい,"regrettable,disappointing,precious"
後ろ,うしろ,behind
香水,こうすい,perfume
重体,じゅうたい,"seriously ill,serious condition,critical state"
座敷,ざしき,tatami room
疑問,ぎもん,"question,problem,doubt,guess"
千,せん,Thousand
落第,らくだい,"failure,dropping out of a class"
沸く,わく,"to boil, to grow hot,to get excited"
日中,にっちゅう,"daytime,broad daylight"
塀,へい,"wall,fence"
瓶,びん,bottle
水道,すいどう,water supply
農村,のうそん,"agricultural community,farm village,rural"
上る,あがる,to rise
子孫,しそん,"descendants,posterity,offspring"
象,ぞう,elephant
矛盾,むじゅん,"contradiction,inconsistency"
当番,とうばん,being on duty
神,かみ,god
曜日,ようび,day of the week
展覧会,てんらんかい,exhibition
売る,うる,to sell
全国,ぜんこく,"country-wide,nation-wide,whole country,national"
先,さき,"the future, previous"
丁寧,ていねい,polite
味噌,みそ,bean paste
円い,まるい,"round,circular,spherical"
歯,は,tooth
二十歳,はたち,"20 years old,20th year"
大勢,おおぜい,great number of people
役人,やくにん,government official
点く,つく,"to catch fire,(electricity) comes on"
縄,なわ,"rope,hemp"
間も無く,まもなく,"soon,before long,in a short time"
別に,べつに,"(not) particularly,nothing"
苦情,くじょう,"complaint,troubles,objection"
目覚し,めざまし,(abbr) alarm-clock
適する,てきする,"to fit,to suit"
醤油,しょうゆ,soy sauce
通ずる,つうずる,"to run to,to lead to,to communicate,to understand"
罪,つみ,"crime,fault,indiscretion"
現状,げんじょう,"present condition,existing state,status quo"
包み,つつみ,"bundle,package,parcel,bale"
現在,げんざい,"present,up to now,nowadays,modern times,current"
原理,げんり,"principle,theory,fundamental truth"
実力,じつりょく,"merit,efficiency,arms,force"
私立,しりつ,private (establishment)
一層,いっそう,"much more,still more,all the more"
切る,きる,to cut
世界,せかい,the world
競争,きょうそう,competition
住宅,じゅうたく,"resident,housing"
女房,にょうぼう,wife
写る,うつる,"to be photographed,to be projected"
年度,ねんど,"year,fiscal year,school year,term"
塗る,ぬる,"to paint,to plaster"
美術館,びじゅつかん,art gallery
御手洗,おてあらい,font of purifying water placed at entrance of shrine
夢,ゆめ,dream
晩,ばん,evening
古い,ふるい,old (not used for people)
芸術,げいじゅつ,"(fine) art,the arts"
巻く,まく,"to wind,to coil,to roll"
お互い,おたがい,"mutual,reciprocal,each other"
お出掛け,おでかけ,about to start out; just about to leave or go out (honorific)
動物園,どうぶつえん,zoo
思い掛けない,おもいがけない,"unexpected,casual"
拡張,かくちょう,"expansion,extension,enlargement,escape (ESC)"
勤める,つとめる,to work for someone
迎える,むかえる,to go out to meet
捩る,ねじる,to twist
欲しい,ほしい,want
州,しゅう,sandbank
味,あじ,flavour
全身,ぜんしん,"the whole body,full-length (portrait)"
直線,ちょくせん,straight line
甘やかす,あまやかす,"to pamper,to spoil"
