七,しち,seven
一緒,いっしょ,together
通訳,つうやく,interpretation
落す,おとす,to drop
英和,えいわ,English-Japanese (e.g. dictionary)
記号,きごう,"symbol,code"
特に,とくに,"particularly,especially"
競技,きょうぎ,"game,match,contest"
電池,でんち,battery
いつも,いつも,"always,usually,every time,never (with neg. verb)"
再び,ふたたび,"again,once more,a second time"
涼む,すずむ,"to cool oneself,to cool off,to enjoy evening cool"
溶く,とく,to dissolve (paint)
修理,しゅうり,"repairing,mending"
回り,まわり,"circumference,surroundings,circulation"
秤,はかり,"scales,weighing machine"
硬貨,こうか,coin
病気,びょうき,illness
一斉,いっせい,"simultaneous,all at once"
恵まれる,めぐまれる,"to be blessed with,to be rich in"
分野,ぶんや,"field,sphere,realm,division,branch"
仕方,しかた,method
梅雨,ばいう,"rainy season,rain during the rainy season"
皿,さら,"plate,dish"
副詞,ふくし,adverb
公害,こうがい,"public nuisance,pollution"
読む,よむ,to read
温帯,おんたい,temperate zone
著者,ちょしゃ,"author,writer"
角,かど,a corner
出入口,でいりぐち,exit and entrance
一昨年,おととし,year before last
以下,いか,less than
通す,とおす,"to let pass,to overlook,to continue"
泳ぎ方,およぎかた,way of swimming
化学,かがく,chemistry
剥く,むく,"to peel,to skin,to pare,to hull"
牛,うし,"cattle,cow"
免税,めんぜい,"tax exemption,duty exemption"
籠,かご,"basket,cage"
下車,げしゃ,"alighting,getting off"
属する,ぞくする,"to belong to,to come under,to be affiliated with,to be subject to"
天然,てんねん,"nature,spontaneity"
側,そば,"side,edge,third person"
言う,ゆう,to say
総理大臣,そうりだいじん,Prime Minister
入場,にゅうじょう,"entrance,admission,entering"
梅,うめ,"plum,plum-tree,lowest (of a three-tier ranking system)"
手洗い,てあらい,"restroom,lavatory,hand-washing"
壊れる,こわれる,to be broken
覆う,おおう,"to cover,to hide,to conceal,to wrap,to disguise"
作る/造る,つくる,"to make,to create"
要点,ようてん,"gist,main point"
喜ぶ,よろこぶ,to be delighted
郵便,ゆうびん,"mail,postal service"
境界,きょうかい,boundary
九,く,nine
治める,おさめる,"(1) to govern,to manage,(2) to subdue"
皆,みんな,"all,everyone,everybody"
率,りつ,"rate,ratio,proportion,percentage"
批評,ひひょう,"criticism,review,commentary"
先々週,せんせんしゅう,week before last
留まる,とどまる,"(1) to be fixed,(2) to abide,to stay (in the one place)"
毒,どく,"poison,toxicant"
急,きゅう,"urgent, steep"
怒る,おこる,"to get angry,to be angry"
地区,ちく,"district,section,sector"
長男,ちょうなん,eldest son
汗,あせ,"sweat,perspiration"
分る,わかる,to be understood
晴れ,はれ,clear weather
決して,けっして,never
寿命,じゅみょう,life span
点々,てんてん,"here and there,little by little"
細い,ほそい,thin
片仮名,かたかな,katakana
発明,はつめい,invention
売行き,うれゆき,sales
さ来年,さらいねん,year after next
通路,つうろ,"passage,pathway"
友情,ゆうじょう,"friendship,fellowship"
地下水,ちかすい,underground water
非常に,ひじょうに,extremely
金,かね,"(1) gold,(2) gold general (shogi) (abbr)"
度,ど,counter for occurrences
現に,げんに,"actually,really"
応じる,おうじる,"to respond,to satisfy,to accept,to comply with,to apply for"
大分,だいぶん,"considerably,greatly,a lot"
八日,ようか,"eight days, eighth day of the month"
落る,おちる,to fall or drop
派手,はで,"showy,loud,gay,flashy,gaudy"
組,くみ,"class,group,team,set"
気分,きぶん,mood
明後日,みょうごにち,day after tomorrow
習う,ならう,to learn
日曜日,にちようび,Sunday
用事,ようじ,things to do
中,なか,middle
貯金,ちょきん,(bank) savings
整理,せいり,"sorting,arrangement,adjustment,regulation"
一人,ひとり,one person
寝る,ねる,"to go to bed,to sleep"
注目,ちゅうもく,"notice,attention,observation"
交流,こうりゅう,"alternating current,intercourse,(cultural) exchange,intermingling"
斜,はす,diagonal​
出来上がる,できあがる,"(1) to be finished,to be ready,by definition,(2) to be very drunk"
無し,なし,without
続々,ぞくぞく,"successively,one after another"
移動,いどう,"removal,migration,movement"
濡れる,ぬれる,to get wet
貸し出し,かしだし,"lending,loaning"
郊外,こうがい,outskirts
木曜,もくよう,Thursday
心得る,こころえる,"to be informed,to have thorough knowledge"
下りる,おりる,to get off
宇宙,うちゅう,"universe,cosmos,space"
今にも,いまにも,"at any time,soon"
草,くさ,grass
暮れ,くれ,"year end,sunset,nightfall,end"
御免,ごめん,"your pardon,declining (something),dismissal,permission"
