ある,to be; to exist; to live; to have; to be located; to be equipped with; to happen; to come about,有る,Godan verb with ru ending (irregular verb); intransitive verb
あう,to meet; to encounter; to see; to have an accident; to have a bad experience,会う,Godan verb with u ending; intransitive verb
なくす,to lose (something); to mislay; to get rid of; to eliminate; to remove,無くす,Godan verb with su ending; Transitive verb
または,or; otherwise,又は,Conjunction; Expression
すり,pickpocket,掏摸,Noun
けど,but; however; although,,Conjunction; Particle
ペン,pen,,Noun
まもなく,soon; before long; in a short time; lacking time to ...; without time to ...,間もなく,Adverb
まれ,rare; seldom,稀,Na-adjective
なる,to bear fruit,生る,Godan verb with ru ending; intransitive verb
よそ,another place; somewhere else; strange parts; outside (one's family or group); those people; unrelated matter,余所,Noun; No-adjective
めぐる,to go around; to return; to surround; to concern (usu. of disputes),巡る,Godan verb with ru ending; intransitive verb
やっぱり,too; also; likewise; either; still; as before; even so; either way; after all; nonetheless; as expected,矢っ張り,Adverb
あふれる,to overflow; to brim over; to flood,溢れる,Ichidan verb; intransitive verb
こぼす,to spill; to drop; to shed (tears); to grumble; to complain; to let one's feelings show,零す,Godan verb with su ending; Transitive verb
ようやく,finally; at last; barely; narrowly; hardly; only just; gradually; little by little; by degrees,漸く,Adverb
ろうそく,candle,蝋燭,Noun
かえって,on the contrary; rather; all the more; instead,却って,Adverb
よこす,to send; to forward; to hand over (e.g. money),寄越す,Godan verb with su ending; Transitive verb
ためらう,to hesitate; to waver,躊躇う,Godan verb with u ending; intransitive verb
つく,to be lit (e.g. electricity comes on); to be lighted; to catch fire,点く,Godan verb with ku ending; intransitive verb
つながる,to be tied together; to be connected to; to be linked to; to lead to; to be related to; to be related (by blood),繋がる,Godan verb with ru ending; intransitive verb
まとめる,to collect; to put (it all) together; to integrate; to consolidate; to summarize; to aggregate; to bring to a conclusion; to finalize; to settle,纏める,Ichidan verb; Transitive verb
うらやましい,"envious; jealous; enviable (position, etc.)",羨ましい,I-adjective
ありがたい,grateful; thankful; welcome; appreciated,有難い,I-adjective
めいめい,each; individual,銘々,Adverbial noun; No-adjective; Noun
たいして,(not so) much; (not) very,大して,Adverb
たいそう,very; extremely; exceedingly; greatly; extreme; excessive; great many; large number of; splendid; impressive; tremendous; immense; exaggerated,大層,Adverb; Na-adjective
さかのぼる,"to go upstream; to go back (in time, to origin); to date back to; to trace back to; to make retroactive",遡る,Godan verb with ru ending; intransitive verb
たまる,to collect; to gather; to save; to accumulate,溜まる,Godan verb with ru ending; intransitive verb
ひとりでに,by itself; automatically; naturally,独りでに,Adverb
せっかく,with trouble; at great pains; rare; valuable; precious; long-awaited; kind; generous; specially; especially; expressly,折角,Adverb; Noun; No-adjective
ものすごい,extreme; incredible; staggering; frightful; ghastly; terrible; horrible,物凄い,I-adjective
えらい,great; excellent; admirable; remarkable; very troublesome; awful; terrible; tiring; tough; very; extremely,偉い,I-adjective; Adverb
やかましい,noisy; loud; clamorous; boisterous; much talked of; much-discussed; vexed; strict; severe; stern; particular; fussy; fastidious; fault-finding,喧しい,I-adjective
ふさがる,to be closed; to be blocked; to be healed (e.g. wound); to be shut up; to be clogged; to be plugged up; to be occupied; to be taken (e.g. accommodation),塞がる,Godan verb with ru ending; intransitive verb
おとなしい,obedient; docile; quiet,大人しい,I-adjective
しっぽ,tail (animal),尻尾,Noun
ともかく,anyhow; anyway; somehow or other; generally speaking,兎も角,Adverb
まく,"to scatter; to sprinkle; to strew; to distribute (handbills, etc.); to spread (rumours, etc.); to give the slip; to throw off; to shake off; to lose",撒く,Godan verb with ku ending; Transitive verb
ささやく,to whisper; to murmur; to rumor; to rumour,囁く,Godan verb with ku ending; intransitive verb
つまずく,to trip (over); to stumble; to fail; to suffer a setback,躓く,Godan verb with ku ending; intransitive verb
こする,to rub; to scrub; to scrape,擦る,Godan verb with ru ending; Transitive verb
さわやか,fresh; refreshing; invigorating; clear (e.g. voice); fluent; eloquent,爽やか,Na-adjective; Noun
だらしない,"slovenly (appearance, work, etc.); sloppy; untidy; undisciplined; weak; feeble; weak-willed; gutless",だらし無い,I-adjective
くだらない,trivial; trifling; insignificant; not worth bothering with; stupid; nonsensical; absurd; foolish,下らない,I-adjective
めちゃくちゃ,absurd; unreasonable; nonsensical; preposterous; extreme; senseless; reckless; wanton; disorderly; chaotic; confused; messy; incredibly; really; so; super,目茶苦茶,Na-adjective; Noun; Adverb
おはよう,good morning,お早う,
いきなり,abruptly; suddenly; all of a sudden; without warning,行き成り,Adverb; No-adjective
くれぐれも,sincerely; earnestly; repeatedly; over and over; again and again,呉れ呉れも,Adverb
もったいない,wasteful; a waste; too good; more than one deserves; unworthy of; impious; profane; sacrilegious,勿体ない,I-adjective
たたむ,"to fold (clothes, umbrella); to close (a shop, business); to vacate",畳む,Godan verb with mu ending; Transitive verb
ただし,but; however; provided that,但し,Conjunction
のんき,carefree; optimistic; careless; reckless,呑気,Na-adjective; Noun
やかん,kettle,薬缶,Noun
めまい,dizziness; giddiness; vertigo,目眩,Noun; Suru verb; No-adjective
もともと,originally; by nature; from the start,元々,Adverb; No-adjective
おやすみ,holiday; day off; absence; sleep; rest; Good night,お休み,Noun; Expression
なんとなく,somehow or other; for some reason or another; without knowing why,何となく,Adverb
もしかしたら,perhaps; maybe; perchance; by some chance,若しかしたら,Expression; Adverb
いよいよ,more and more; all the more; increasingly; at last; finally; beyond doubt; (at the) last moment; worst possible time,愈,Adverb
ふざける,to joke; to jest; to kid; to josh; to make fun of; to laugh at; to play a prank; to romp; to gambol; to frolic; to frisk,巫山戯る,Ichidan verb; intransitive verb
よる,"to be due to; to be caused by; to depend on; to turn on; to be based on; to come from; to be based at (a location, an organization); to be headquartered at",因る,Godan verb with ru ending; intransitive verb
おしゃれ,smartly dressed; stylish; fashion-conscious; someone smartly dressed; to dress up; to be fashionable,お洒落,Na-adjective; No-adjective; Noun; Suru verb
まとまる,to find resolution; to be settled; to be agreed on; to be completed; to be collected; to be assembled; to be brought together; to be well arranged,纏まる,Godan verb with ru ending; intransitive verb
ゴム,gum; rubber; eraser; condom,護謨,Noun
みっともない,shameful; disgraceful; indecent; unseemly,見っともない,I-adjective
むく,to peel; to skin; to pare; to hull,剥く,Godan verb with ku ending; Transitive verb
かぶせる,to cover (with something); to put on (e.g. on someone else's head); to plate something (with a metal); to pour or dash a liquid (on something),被せる,Ichidan verb; Transitive verb
さすが,"as one would expect; still; all the same; even... (e.g. ""even a genius..."")",流石,Na-adjective; Adverb; No-adjective
こしらえる,to make; to manufacture,拵える,Ichidan verb; Transitive verb
まぶた,eyelid,瞼,Noun
めんどくさい,bothersome; tiresome; bother to do,面倒くさい,I-adjective
くどい,verbose; importunate; wordy; repetitious; heavy (taste); rich; strong; cloying,諄い,I-adjective
もしかすると,perhaps; maybe; by some chance,若しかすると,Expression; Adverb
つながり,connection; link; relationship,繋がり,Noun
またぐ,to step over; to step across; to stride over; to stride across; to stretch over; to span; to bridge; to saddle,跨ぐ,Godan verb with gu ending; Transitive verb
