どっと,bursting out (laughter); breaking out (applause); roaring; whooping; in a rush; in a surge; flooding in; pouring in; suddenly; all of a sudden,,Adverb
えっと,let me see; well; errr ...; uhh ...,,
せっせと,diligently; assiduously; industriously; beavering away,,Adverb
ウェイトレス,waitress,,Noun
そういえば,which reminds me ...; come to think of it ...; now that you mention it ...; on that subject ...,そう言えば,Expression
ずらり,in a row,,Adverb taking the 'to' particle; Adverb
スカーフ,scarf,,Noun
テニスコート,tennis court,,Noun
オイル,oil; petroleum; oil; lubricant; grease; (cooking) oil; (massage) oil; ointment; kerosene; engine oil,,Noun
ガム,chewing gum; gum; rubber,,Noun
ショップ,shop,,Noun
くわえる,to hold in one's mouth,咥える,Ichidan verb; Transitive verb
やっつける,to beat; to attack (an enemy); to do away with; to finish off,遣っ付ける,Ichidan verb; Transitive verb
バイバイ,bye-bye; good-bye; see you; so long; saying goodbye; parting,,; Noun; Suru verb
つる,to hang; to suspend; to sling; to wear (e.g. a sword); to hang oneself; to hoist an opponent off of his feet by his loincloth,吊る,Godan verb with ru ending; Transitive verb; intransitive verb
そろばん,abacus,算盤,Noun
はんこ,seal (used in lieu of a signature),判子,Noun
あらすじ,outline; summary; argument,粗筋,Noun
ごちそうさま,thank you (for the meal); that was a delicious meal; thank you (for displaying lovey-dovey behaviour),ご馳走様,
こうして,thus; in this way,斯うして,Conjunction
うんと,a great deal; very much; a lot; with a great amount of effort,,Adverb
ぼろ,"rag; scrap; tattered clothes; fault (esp. in a pretense, pretence); defect; run-down; shabby; junky",襤褸,Noun; Prefix; Na-adjective
はじめまして,How do you do?; I am glad to meet you,初めまして,Expression
しゃぶる,to suck; to lick,,Godan verb with ru ending; Transitive verb
しーん,silently (as the grave); quietly (as in death),,Adverb; Adverb taking the 'to' particle; Suru verb
そのため,hence; for that reason,その為,Expression
はきはき,briskly; smartly; promptly; clearly,,Adverb taking the 'to' particle; Adverb; Suru verb
こちらこそ,it is I who should say so,,Expression
ペンチ,cutting pliers; lineman's pliers; combination pliers,,Noun
フリー,"free (of restraint, controls, etc.); free (of cost); freelance; one-size",,Na-adjective
モノレール,monorail,,Noun
ダイアグラム,diagram,,Noun
サークル,group with a common interest (e.g. students); club (e.g. company sports club); circle; circle (shape); Circle,,Noun; Place
ウーマン,woman; Uman (Russia),,Noun; No-adjective; Place
ついで,opportunity; occasion,序,Noun
ビニール,vinyl; vinyl record,,Noun; No-adjective
へそ,navel; belly button; protrusion or depression in the middle of an object; center; centre; most important part; main point,臍,Noun
ちぎる,to tear to pieces; to tear to shreds; to tear up; to pick (e.g. fruit); to pluck; to tear off; to do ... heavily; to do ... heartily; to do ... vigorously,千切る,Godan verb with ru ending; Transitive verb; Suffix
まごまご,confused; flustered; at a loss,,Adverb; Suru verb
ごめんください,may I come in?; please forgive me; I'm sorry,ご免ください,Expression
こんばんは,good evening,今晩は,
ゼミ,seminar,,Noun
ビルディング,building,,Noun
ばつ,x-mark; impossibility; futility; uselessness,,Noun
ぬめる,to be slippery; to be slimy; to behave charmingly; to walk merrily,滑る,Godan verb with ru ending; intransitive verb
ローンチ,launch,,Noun; Suru verb
タイア,tire; tyre,,Noun
それなのに,and yet; despite this; but even so; but even then,,Conjunction
おかけください,please sit down; please have a seat,お掛け下さい,Expression
オーバコート,overcoat,,Noun
どうぞよろしく,pleased to meet you; how do you do; my regards (to someone); my greetings; best wishes; remember me to,どうぞ宜しく,Expression
