ほど,degree; extent; bounds; limit; upper limit,程,Adverbial noun; Noun; Particle
ある,to be; to exist; to live; to have; to be located; to be equipped with; to happen; to come about,有る,Godan verb with ru ending (irregular verb); intransitive verb
できる,to be able (in a position) to do; to be up to the task; to be ready; to be completed; to be made; to be built; to be good at; to be permitted (to do),出来る,Ichidan verb; intransitive verb
この,"this (something or someone close to the speaker (including the speaker), or ideas expressed by the speaker); last (couple of years, etc.); these",此の,Pre-noun adjectival
みんな,all; everyone; everybody; everything,皆,Adverb; Noun
また,again; and; also; still (doing something),又,Adverb; Conjunction; Prefix
いつも,always; usually; every time; never,何時も,Adverb; Noun
かかる,"to take (a resource, e.g. time or money); to hang; to come into view; to arrive; to come under (a contract, a tax); to start (engines, motors); to attend",掛かる,Godan verb with ru ending; intransitive verb; Auxiliary verb
まっすぐ,straight (ahead); direct; upright; erect; straightforward; honest; frank,真っ直ぐ,Na-adjective; Adverb; Noun
と,"if; when; and; with; particle used for quoting (with speech, thoughts, etc.); promoted pawn; ?",,Particle; Conjunction; Noun
すごい,terrible; dreadful; amazing (e.g. of strength); great (e.g. of skills); wonderful; terrific; to a great extent; vast (in numbers); awfully; very; immensely,凄い,I-adjective; Adverb
でも,but; however; though; nevertheless; even; however; no matter how; even if; even though; ... or something; either ... or ...,,Conjunction; Particle; Prefix
など,et cetera; etc.; and the like; and so forth; or something; the likes of,等,Particle
こと,thing; matter; incident; occurrence; event; something serious; circumstances; situation; state of affairs; work; business; affair,事,Noun; Noun - used as a suffix
くださる,to give; to confer; to bestow; to kindly do for one; to oblige; to favour; to favor,下さる,Godan verb - aru special class
さらに,furthermore; again; after all; more and more,更に,Adverb; Conjunction
すでに,already; too late,既に,Adverb
おそらく,perhaps; likely; probably; I dare say,恐らく,Adverb
ほぼ,almost; roughly; approximately,略,Adverb
したがって,therefore; consequently; accordingly,従って,Conjunction
いわば,so to speak; so to call it; as it were,言わば,Adverb
ともに,together; jointly; at the same time; with; as ...; including; both,共に,Adverb
かわいそう,poor; pitiable; pathetic; pitiful,可哀想,Na-adjective; Noun
しるし,"mark; sign; symbol; emblem; badge; crest; flag; evidence; proof; token (of gratitude, affection, etc.)",印,Noun
たびたび,often; again and again; over and over again; repeatedly,度々,Adverb
しまう,"to finish; to stop; to end; to put an end to; to close (a business, etc.); to close down; to shut down; to shut up; to put away; to put back",仕舞う,Godan verb with u ending; Transitive verb; Auxiliary verb
もらう,"to receive; to take; to accept; to get somebody to do something; to have in one's pocket (a fight, match)",貰う,Godan verb with u ending; Transitive verb; Auxiliary verb
すべて,everything; all; the whole; entirely; completely; wholly; all,全て,Noun; No-adjective; Adverb
いけない,wrong; not good; of no use; hopeless; past hope; must not do,行けない,Expression
まったく,really; truly; entirely; completely; indeed; good grief,全く,Adverb; No-adjective
かなり,considerably; fairly; quite,可也,No-adjective; Na-adjective; Adverb
いただく,to receive; to get; to accept; to take; to eat; to drink; to be crowned with; to wear (on one's head); to have (on top); to have (as one's leader),頂く,Godan verb with ku ending; Transitive verb; Auxiliary verb
ついに,finally; at last; in the end,遂に,Adverb
まず,first (of all); firstly; to start with; above all; probably; almost (certainly); hardly; practically; anyway; at any rate; for now (at least),先ず,Adverb
あらゆる,all; every,有らゆる,Pre-noun adjectival
よろしい,good; OK; all right; fine,宜しい,I-adjective
