うがい,gargling; rinsing one's mouth,嗽,Noun; Suru verb
やはり,too; also; likewise; either; still; as before; even so; either way; nonetheless; in any event; as expected,矢張り,Adverb
いただきます,thank you (for the meal just served); I receive (this meal),頂きます,Expression
しまった,darn it!; darn!; oops!; oh dear!,仕舞った,
びっくり,to be surprised; to be amazed; to be frightened; to be astonished; surprise (e.g. surprise party),吃驚,Suru verb; Adverb; Noun or verb acting prenominally
あんなに,to that extent; to that degree,,Expression
ごめんなさい,I beg your pardon; excuse me,御免なさい,Expression
ばったり,with a clash; with a thud; with a bang; with a flop; unexpectedly (meeting someone); suddenly (ending); abruptly (coming to a halt),,Adverb; Adverb taking the 'to' particle
エネルギー,energy; energy; strength; power; stamina; energy source; energy resource; food energy; calories,,Noun
ど,precisely; exactly; plumb; totally; damn; stupid; cursed,,Prefix
なし,without; unacceptable; not alright; unsatisfactory,無し,Noun; Noun - used as a suffix
しな,article; item; thing; goods; quality; flirtatiousness; coquetry,品,Noun
ママ,"mama; mamma; mom; mommy; female proprietress (of a bar, etc.)",,Noun
よると,according to,依ると,Expression
ト,"7th in a sequence denoted by the iroha system; 7th note in the diatonic scale (used in key names, etc.)",,Noun
ケチ,stinginess; miserliness; penny-pinching; cheeseparing; shabby; cheap; mangy; poor; petty; narrow-minded; quibbling,,Noun; Na-adjective
