かわ,river; stream; River; the ... river; Gawa,川,Noun; Suffix; Place
よる,evening; night,夜,Adverbial noun; Temporal noun
さんぽ,walk; stroll,散歩,Noun; Suru verb
いす,chair; stool; post; office; position,椅子,Noun
かぎ,key; lock,鍵,Noun
ふろ,bath; bathing; bathtub; bathroom; bathhouse; public bath; room for drying lacquerware,風呂,Noun
くもり,"cloudiness; cloudy weather; fog (on a mirror, glasses, etc.); cloud (e.g. in marble); blur; mist; gloom; dejection",曇り,Noun
なる,to become; to get; to grow; to be; to result in; to prove to be; to consist of; to be composed of; to succeed; to be complete; to change into,成る,Godan verb with ru ending; intransitive verb; Place
ふね,ship; boat; watercraft; vessel; tank; tub; vat; trough; counter for boat-shaped containers (e.g. of sashimi),船,Noun; Noun - used as a suffix; Counter
おと,sound; noise; report; note; fame; Chinese-derived character reading,音,Noun; Noun - used as a suffix
こしょう,breakdown; failure; fault; accident; damage; hurt; objection; protest,故障,Noun; Suru verb
せいさん,production; manufacture,生産,Noun; Suru verb
にゅうがく,"entry to school or university; matriculation; enrolment (in university, etc.) (enrollment)",入学,Noun; Suru verb
けんか,quarrel; brawl; fight; squabble,喧嘩,Noun; Suru verb
しょうじき,honest; frank; candid; straightforward; honestly; frankly; Shoujiki,正直,Na-adjective; Noun; Adverb; Place
いっち,coincidence; agreement; union; match; conformity; consistency; cooperation; Icchi,一致,Noun; Suru verb; Place
はくぶつかん,museum; Hakubutsukan,博物館,Noun; Place
さら,plate; dish; platter; disc; serving; helping; course; kanji radical 108 (at the bottom); Sara,皿,Noun; Noun - used as a suffix; Counter; Place
ぶたい,"stage (theatre, theater); scene or setting (e.g. of novel, play, etc.); Butai",舞台,Noun; Place
きふ,contribution; donation; Kifu,寄付,Noun; Suru verb; Place
さる,"monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate; sly person; idiot; hick",猿,Noun; Place
びょうどう,equality; impartiality; evenness; Byoudou,平等,Na-adjective; No-adjective; Noun; Place
きんぞく,metal; Kinzoku,金属,Noun; Place
さゆう,left and right; right and left; (asserting) control; influence; domination; one's attendants; people accompanying one; (serving at somebody's) side,左右,Noun; Suru verb; Place
しょうにん,merchant; trader; tradesman; dealer; Akindo,商人,Noun; Place
こっきょう,national border; provincial border; Kunizakai,国境,Noun; No-adjective; Place
しゅうだん,group; mass; Shuudan,集団,Noun; Place
ね,"root (of a plant); root (of a tooth, hair, etc.); center (of a pimple, etc.); root (of all evil, etc.); source; origin; cause; one's true nature",根,Noun; Place
くさり,chain; chains; Kusari,鎖,Noun; Place
いちばん,number one; first; first place; best; most; game; round; bout; as a test; as an experiment; by way of experiment; by way of trial; song (e.g. in noh); piece,一番,Noun; No-adjective; Adverb; Place
とき,time; hour; moment; occasion; case; chance; opportunity; season; the times; the age; the day; tense,時,Noun
もと,"origin; source; base; basis; foundation; root; cause; ingredient; material; (somebody's) side; (somebody's) location; original cost (or capital, principal, etc.)",元,Noun; Counter
けいかく,plan; project; schedule; scheme,計画,Noun; Suru verb
しょうねん,boy; juvenile; young boy; youth,少年,Noun
れっしゃ,train; railway train,列車,Noun
