さいわい,happiness; blessedness; luck; fortune; luckily; fortunately,幸い,Na-adjective; Noun; Adverb
ふじゆう,"discomfort; inconvenience; poverty; want; destitution; disability; impairment (physical, mental, etc.)",不自由,Noun; Na-adjective; Suru verb
やぶる,"to tear; to rip; to break; to destroy; to break through (cordon, opponent's defense, etc.); to breach; to defeat; to beat; to break (e.g. silence)",破る,Godan verb with ru ending; Transitive verb
じょうけん,condition; term; requirement; qualification,条件,Noun
ないよう,contents; content; substance; matter,内容,Noun
たたかい,battle; fight; struggle; conflict,戦い,Noun
ゆうのう,able; capable; competent; talented,有能,Na-adjective; Noun
じじょう,circumstances; conditions; situation; reasons,事情,Noun
れつ,row; line; file; column; company (of someone); group; ranks; sequence; counter for rows,列,Noun; Counter
かぞえる,to count; to enumerate,数える,Ichidan verb; Transitive verb
ていど,degree; amount; grade; standard,程度,Noun; Adverbial noun; Noun - used as a suffix
ほんもの,genuine article; real thing; real deal,本物,Noun; No-adjective
つぎつぎ,in succession; one by one,次々,Adverb; Adverb taking the 'to' particle; Noun
へる,to decrease (in size or number); to diminish; to abate,減る,Godan verb with ru ending; intransitive verb
ふまん,dissatisfaction; displeasure; discontent; complaints,不満,Na-adjective; Noun
きちょう,precious; valuable,貴重,Na-adjective; Noun
とかい,city; Tokyo Metropolitan Assembly,都会,Noun; No-adjective
くべつ,distinction; differentiation; classification,区別,Noun; Suru verb
いわ,rock; boulder; crag; cliff; anchor,岩,Noun
かいいん,member; the membership,会員,Noun
まわす,to turn; to rotate; to spin; to twist; to pass around; to send around; to hand around; to circulate,回す,Godan verb with su ending; Transitive verb; Auxiliary verb
しばふ,lawn,芝生,Noun; No-adjective
きゅうそく,rapid (e.g. progress),急速,Na-adjective; Noun
そしき,"organization; organisation; formation; structure; construction; setup; constitution; system (e.g. railroad, transport, party, etc.); tissue; texture (of a rock)",組織,Noun; Suru verb
しんせん,fresh,新鮮,Na-adjective
ゆたか,abundant; wealthy; plentiful; rich; very; extremely; full of; great,豊か,Na-adjective; Suffix
はかる,"to measure; to weigh; to survey; to time (sound, gauge, estimate); to conjecture; to infer; to surmise",計る,Godan verb with ru ending; Transitive verb
うらぎる,to betray; to turn traitor to; to double-cross,裏切る,Godan verb with ru ending; Transitive verb
しつぼう,disappointment; despair,失望,Noun; Suru verb
ひはん,criticism; judgement; judgment; comment,批判,Noun; Suru verb
のこり,remnant; residue; remaining; left-over,残り,Noun; No-adjective
せいぞう,manufacture; production,製造,Noun; Suru verb; No-adjective
けんさ,"inspection (e.g. customs, factory); examination; scan (e.g. MRI, PET, etc.)",検査,Noun; Suru verb
くわわる,to be added to; to be appended; to join in (e.g. a group of friends); to participate; to increase (e.g. heat); to gain in (e.g. influence); to grow,加わる,Godan verb with ru ending; intransitive verb
てつだい,helper; assistant; help,手伝い,Noun
かまう,to mind; to care about; to be concerned about; to have a regard for; to be an issue; to matter; to create inconvenience; to keep company; to care for,構う,Godan verb with u ending; intransitive verb; Transitive verb
へい,wall; fence,塀,Noun
げんば,actual spot; scene; scene of the crime; site; shop floor; factory floor; (on) site,現場,Noun
ぜいきん,tax; duty,税金,Noun
じょじょ,slow; gradual; steady; calm; composed; relaxed,徐々,Taru-adjective; Adverb taking the 'to' particle
こんご,from now on; hereafter,今後,Adverbial noun; Temporal noun
ねがい,desire; wish; request; prayer,願い,Noun
しょうしょう,just a minute; small quantity,少々,Adverbial noun; Noun
あらた,new; fresh; novel,新た,Na-adjective; Noun
ほうふ,abundant; plentiful; rich; ample,豊富,Na-adjective; Noun
ゆうり,advantageous; favourable; better; stronger; profitable; lucrative; gainful; paying,有利,Na-adjective; Noun
ひかく,comparison,比較,Noun; Suru verb; No-adjective
かぶ,"stock; share; stump; root; rootstock; strain (of bacteria, etc.); tradeable rank; goodwill; one's forte",株,Noun; Counter; Noun - used as a suffix
かいてき,pleasant; agreeable; comfortable,快適,Na-adjective; Noun
いき,breath; breathing; tone; mood,息,Noun
むすぶ,to tie; to bind; to link; to bear (fruit); to close (e.g. deal); to confirm; to conclude; to connect (two distant places); to close tightly; to purse (e.g. lips),結ぶ,Godan verb with bu ending; Transitive verb
ちょくせつ,direct; immediate; personal; firsthand,直接,Na-adjective; Adverbial noun; No-adjective
こうせい,organization; organisation; configuration; composition,構成,Noun; Suru verb; No-adjective
かんじょう,calculation; computation; counting; reckoning; bill; check; account; payment (of a bill); consideration; allowance,勘定,Noun; Suru verb
とも,friend; companion; comrade; pal; accompaniment; companion (e.g. book); complement; accessory,友,Noun
くわしい,detailed; full; accurate; knowing very well; well-acquainted; well-informed,詳しい,I-adjective
ぜったい,definitely; absolutely; unconditionally; absolute; unconditional; unmistakable; absoluteness,絶対,Adverb; No-adjective; Noun
けんとう,consideration; examination; investigation; study,検討,Noun; Suru verb
おうじる,to respond; to satisfy; to accept; to comply with,応じる,Ichidan verb; intransitive verb
くむ,to cross (legs or arms); to link (arms); to put together; to construct; to assemble; to produce (e.g. TV program); to braid; to plait; to grapple; to wrestle,組む,Godan verb with mu ending
べつに,(not) particularly; (not) especially; (not) specially; separately; apart; additionally; extra,別に,Adverb
おう,"to chase; to run after; to pursue; to follow after; to follow (a set order, a trend, etc.); to drive out; to get rid of; to oust; to expel",追う,Godan verb with u ending; Transitive verb
にがて,poor (at); weak (in); not very good (at); not one's cup of tea; not one's favorite,苦手,Na-adjective; Noun
かいしゃく,explanation; interpretation,解釈,Noun; Suru verb
かる,"to cut (grass, hair, etc.); to mow; to clip; to trim",刈る,Godan verb with ru ending; Transitive verb
かこむ,"to surround; to encircle; to enclose; to fence; to besiege; to lay siege to; to play (go, shogi, etc.)",囲む,Godan verb with mu ending; Transitive verb
せんたく,selection; choice; option,選択,Noun; Suru verb
とびだす,to jump out; to rush out; to fly out; to appear (suddenly); to protrude; to project; to butt in,飛び出す,Godan verb with su ending; intransitive verb
みりょく,charm; fascination; glamour; glamor,魅力,Noun
かみのけ,hair (head),髪の毛,Expression; Noun
うつ,to shoot (at); to attack; to defeat; to destroy; to avenge,撃つ,Godan verb with tsu ending
じゅよう,demand; request,需要,Noun
れいせい,calmness; composure; coolness; serenity,冷静,Noun; Na-adjective
へらす,to abate; to decrease; to diminish; to shorten,減らす,Godan verb with su ending; Transitive verb
がい,injury; harm; evil influence; damage,害,Noun
かくじつ,certainty; reliability; soundness,確実,Na-adjective; Noun
しそう,thought; idea; ideology,思想,Noun
にぎる,"to clasp; to grasp; to grip; to clutch; to make (nigirizushi, rice ball, etc.); to form; to press into shape; to mold; to seize (power, etc.)",握る,Godan verb with ru ending; Transitive verb
