ぶつり,physics; law of nature,物理,Noun; No-adjective
じゅうし,regarding as important; attaching importance to; taking a serious view of; putting emphasis on,重視,Noun; Suru verb
いっしゅん,instant; moment; for an instant,一瞬,Noun; Adverbial noun; Temporal noun
じっし,enforcement; implementation; putting into practice; carrying out,実施,Noun; Suru verb
ざいりょう,"ingredients; material; material (for a novel, experiment, etc.); subject matter; data; basis (for a decision); grounds; evidence; (market) factor",材料,Noun
しょうじょう,symptoms; condition (of a patient),症状,Noun; No-adjective
せいけつ,clean; hygienic; sanitary; pure; virtuous; immaculate,清潔,Na-adjective; Noun
ひげき,tragedy; tragic drama; tragic play; tragedy; calamity; disaster,悲劇,Noun
えんぎ,acting; performance,演技,Noun; Suru verb; No-adjective
せっけい,plan; design; layout,設計,Noun; Suru verb
そまつ,crude; rough; plain; humble,粗末,Na-adjective; Noun
けっかん,defect; fault; flaw; deformity,欠陥,Noun
たんとう,"being in charge (of an area of responsibility); being responsible (for a work role, etc.)",担当,Noun; Suru verb
なか,relation; relationship,仲,Noun
げんかい,limit; bound,限界,Noun; No-adjective
かっこう,shape; form; figure; posture; appearance; state; situation; suitable; fit; reasonable; about,格好,Noun; Na-adjective; No-adjective; Noun - used as a suffix
せいじん,"adult (esp. person 20 years old or over); grownup; becoming an adult; coming of age; growing up (to be a man, woman)",成人,Noun; Suru verb
こうさい,company; friendship; association; society,交際,Noun; Suru verb
いちじ,one o'clock; once; at one time; formerly; before; for a time; for a while; for the time being; for the present; a time; one time; once,一時,Temporal noun; Adverbial noun; No-adjective; Noun
にゅうじょう,entrance; admission; entering,入場,Noun; Suru verb
しぼう,death; mortality; to die; to pass away,死亡,Noun; No-adjective; Suru verb
なかば,middle; half; semi; halfway,半ば,Adverbial noun; Noun; Noun - used as a suffix
ししゅつ,expenditure; disbursement; expenses,支出,Noun; Suru verb
ふせい,injustice; unfairness; wrongdoing; iniquity,不正,Noun; Na-adjective
しんがく,"entering a higher-level school, esp. going on to university",進学,Noun; Suru verb
じゅうたく,residence; housing; residential building,住宅,Noun
とくちょう,feature; trait; characteristic; peculiarity,特徴,Noun
かっき,energy; liveliness,活気,Noun
いいん,committee member,委員,Noun
しゅうせい,amendment; correction; revision; modification,修正,Noun; Suru verb
れいぎ,manners; courtesy; etiquette,礼儀,Noun
さいてい,least; lowest; minimum; worst; awful; horrible; nasty; disgusting; at the very least,最低,No-adjective; Na-adjective; Noun; Adverb
すいせん,recommendation; referral; endorsement,推薦,Noun; Suru verb; No-adjective
しんぱん,refereeing; trial; judgement; judgment,審判,Noun; Suru verb
はば,width; breadth; freedom (e.g. of thought); latitude; gap; difference (e.g. in price); range (e.g. of voice),幅,Noun
きじ,cloth; fabric; material; texture; dough; batter; inherent quality; one's true character; one's true colours; unglazed pottery; skin with no make-up,生地,Noun
ちく,district; section; sector,地区,Noun; No-adjective
きゅうげき,sudden; abrupt; rapid; sharp,急激,Na-adjective
いきもの,living thing; living creature; animal; life,生き物,Noun
とう,party (political); faction; -ite,党,Noun; Noun - used as a suffix
かんりょう,"completion; conclusion; perfect (tense, form, aspect)",完了,Noun; Suru verb; No-adjective
してん,branch office; branch store,支店,Noun
いらい,request; commission; entrusting (with a matter); dependence; reliance,依頼,Noun; Suru verb
やっかい,trouble; burden; nuisance; bother; care; dependence; support; kindness,厄介,Na-adjective; Noun
そうち,equipment; device; installation; apparatus; stage setting,装置,Noun; Suru verb
せいり,sorting; arrangement; organization; putting in order; liquidation; settlement; consolidation; clearance (e.g. debt); retrenchment,整理,Noun; Suru verb
か,lesson; section (in an organization); division; department; counter for lessons and chapters (of a book),課,Noun; Noun - used as a suffix; Counter
かくだい,magnification; enlargement; expansion; amplification,拡大,Noun; Suru verb
