みんな,all; everyone; everybody; everything,皆,Adverb; Noun
かける,"to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to put on (e.g. a blanket)",掛ける,Ichidan verb; Transitive verb; Suffix
ため,good; advantage; benefit; welfare; sake; purpose; objective; aim; consequence; result; effect; affecting; regarding; concerning,為,Noun
うける,"to receive; to get; to catch (e.g. a ball); to be struck by (wind, waves, sunlight, etc.); to sustain (damage); to incur (a loss); to suffer (an injury)",受ける,Ichidan verb; Transitive verb; intransitive verb
つま,wife; my dear; dear; honey; garnish (esp. one served with sashimi); embellishment,妻,Noun
いたす,to do,致す,Godan verb with su ending; Transitive verb
おかしい,funny; amusing; comical; laughable; strange; odd; funny; peculiar; improper; unsuitable; unbecoming; suspicious,可笑しい,I-adjective
くび,neck; head; dismissal; discharge; firing (from a job),首,Noun
だいたい,outline; main point; gist; general; substantially; approximately; about; in the first place; to begin with; from the start,大体,Noun; Adverbial noun; Temporal noun
または,or; otherwise,又は,Conjunction; Expression
くれる,to give; to let someone have; to be given; to do for someone; to take the trouble to do; to do to someone's disadvantage,呉れる,Ichidan verb (kureru special class); Transitive verb; Auxiliary verb
すぎる,to pass through; to pass by; to go beyond; to pass (i.e. of time); to elapse; to have expired; to have ended; to be over; to exceed; to surpass; to be above,過ぎる,Ichidan verb; intransitive verb; Suffix
つもり,intention; plan; conviction; belief,積もり,Noun
ほとんど,mostly; nearly; practically; well-nigh,殆ど,Adverbial noun; Temporal noun
ひどい,cruel; heartless; hard; harsh; violent; intense; strong; heavy; very bad; terrible; awful; excessive; exorbitant; unreasonable; outrageous,酷い,I-adjective
きっと,surely; undoubtedly; almost certainly; most likely (e.g. 90 percent); sternly; severely; having no slack; rigid; stiff; tight; suddenly; abruptly; instantly,屹度,Adverb
なくなる,to be lost (e.g. luggage); to be missing; to be used up; to be run out; to be exhausted; to be consumed,無くなる,Godan verb with ru ending; intransitive verb
