あげる,"to raise; to elevate; to do up (one's hair); to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.); to land (a boat)",上げる,Ichidan verb; Transitive verb; intransitive verb; Auxiliary verb
うで,arm; skill; efforts; ability; Ude,腕,Noun; Place
にんぎょう,doll; puppet; figure; Ningyou,人形,Noun; Place
ぶんか,culture; civilization; civilisation; Bunka era (1804.2.11-1818.4.22); Bunka,文化,Noun; Place
かいがん,coast; beach; Kaigan,海岸,Noun; No-adjective; Place
さんぎょう,industry; livelihood; occupation; Sangyou,産業,Noun; No-adjective; Place
どうぶつえん,zoo; zoological gardens; Doubutsuen,動物園,Noun; Place
びじゅつかん,art gallery; art museum; Bijutsukan,美術館,Noun; Place
ひこうじょう,airfield; airport; Hikoujou,飛行場,Noun; Place
すいどう,water supply; water service; waterworks; channel; strait; water course; waterway; Suidou,水道,Noun; Place
ぶどう,grape; grapevine; Budou,葡萄,Noun; Place
じこ,accident; incident; trouble; circumstances; reasons,事故,Noun
むすこ,son; penis,息子,Noun
せいかつ,living; life (one's daily existence); livelihood,生活,Noun; Suru verb
ちゅうい,caution; being careful; attention (heed); warning,注意,Noun; Suru verb
いきる,"to live; to exist; to make a living; to subsist; to be in effect; to be in use; to function; to come to life; to be enlivened; to be safe (in baseball, go, etc.)",生きる,Ichidan verb; intransitive verb
じょせい,woman; female; feminine gender,女性,Noun; No-adjective
ふね,ship; boat; watercraft; vessel; tank; tub; vat; trough; counter for boat-shaped containers (e.g. of sashimi),船,Noun; Noun - used as a suffix; Counter
せつめい,explanation; exposition,説明,Noun; Suru verb; No-adjective
けいさつ,police; police officer; police station,警察,Noun; No-adjective
きけん,danger; peril; hazard; risk,危険,Noun; Na-adjective
せかい,the world; society; the universe; sphere; circle; world; renowned; world-famous; well-known outside of Japan; realm governed by one Buddha; space,世界,Noun; No-adjective
せんそう,war; fighting; fierce competition,戦争,Noun; Suru verb
しょうせつ,novel; (short) story,小説,Noun; No-adjective
かんけい,relation; relationship; connection; participation; involvement; concern; influence; effect; sexual relations; sexual relationship; related to; connected to,関係,Noun; Suru verb; No-adjective; Noun - used as a suffix
けんきゅう,study; research; investigation,研究,Noun; Suru verb
かいぎ,meeting; conference; session; assembly,会議,Noun; Suru verb; No-adjective
おと,sound; noise; report; note; fame; Chinese-derived character reading,音,Noun; Noun - used as a suffix
ふつう,general; ordinary; usual; normally; generally; usually; really; local train; train that stops at every station,普通,No-adjective; Adverb; Noun
みずうみ,lake,湖,Noun
ゆめ,dream,夢,Noun
くうこう,airport,空港,Noun
すうがく,mathematics; arithmetic,数学,Noun
きょういく,education; schooling; training; instruction; culture; cultivation; education,教育,Noun; Suru verb
あかちゃん,baby; infant,赤ちゃん,Noun
じゆう,freedom; liberty; as it pleases you,自由,Expression; Na-adjective; Noun
ひ,fire; flame; blaze,火,Noun; Noun - used as a suffix
もり,forest; shrine grove,森,Noun
ほうりつ,law,法律,Noun; No-adjective
きぶん,feeling; mood,気分,Noun
かべ,"wall; partition; barrier; obstacle; Chinese ""Wall"" constellation (one of the 28 mansions)",壁,Noun
