より,than; from; out of; since; at; except; but; other than; more,,Particle; Adverb
ある,to be; to exist; to live; to have; to be located; to be equipped with; to happen; to come about,有る,Godan verb with ru ending (irregular verb); intransitive verb
できる,to be able (in a position) to do; to be up to the task; to be ready; to be completed; to be made; to be built; to be good at; to be permitted (to do),出来る,Ichidan verb; intransitive verb
ください,please give me; please do for me,下さい,Expression
みる,to see; to look; to watch; to view; to look over; to look on; to assess; to examine; to look after; to keep an eye on; to take care of,見る,Ichidan verb; Transitive verb; Auxiliary verb
この,"this (something or someone close to the speaker (including the speaker), or ideas expressed by the speaker); last (couple of years, etc.); these",此の,Pre-noun adjectival
みんな,all; everyone; everybody; everything,皆,Adverb; Noun
ほしい,wanted; wished for; in need of; desired; I want (you) to,欲しい,I-adjective; Auxiliary adjective
いく,to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to proceed; to take place,行く,Godan verb - Iku/Yuku special class; intransitive verb; Auxiliary verb
どの,which; what (way),何の,Pre-noun adjectival
また,again; and; also; still (doing something),又,Adverb; Conjunction; Prefix
かける,"to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to put on (e.g. a blanket)",掛ける,Ichidan verb; Transitive verb; Suffix
きらい,disliked; hated; disagreeable; tendency; smack (of); touch (of); distinction; discrimination,嫌い,Na-adjective; Noun
はじめ,"beginning; start; outset; opening; first (in line, etc.); origin; such as ...; not to mention ...",始め,Temporal noun; Adverbial noun; Noun
いる,to be (of animate objects); to exist; to stay; to be ...-ing; to have been ...-ing,居る,Ichidan verb; intransitive verb; Auxiliary verb
とても,very; awfully; exceedingly; (not) at all; by no means; simply (cannot),迚も,Adverb
あう,to meet; to encounter; to see; to have an accident; to have a bad experience,会う,Godan verb with u ending; intransitive verb
ところ,place; spot; scene; site; address; district; area; locality; one's house; point; aspect; side; facet; passage (in text); part; space; room; thing; matter; whereupon; as a result,所,Noun; Suffix
いつも,always; usually; every time; never,何時も,Adverb; Noun
たくさん,a lot; lots; plenty; many; enough; sufficient; enough; too many; too much,沢山,No-adjective; Na-adjective; Noun; Adverbial noun; Noun - used as a suffix
おく,"to put; to place; to leave (behind); to establish (an organization, a facility, a position, etc.); to set up; to appoint (someone to a certain position)",置く,Godan verb with ku ending; Transitive verb; Auxiliary verb
どこ,"where; what place; how much (long, far); what extent",何処,Pronoun
かかる,"to take (a resource, e.g. time or money); to hang; to come into view; to arrive; to come under (a contract, a tax); to start (engines, motors); to attend",掛かる,Godan verb with ru ending; intransitive verb; Auxiliary verb
どなた,who?,何方,Noun
ちょっと,a little; a bit; slightly; just a minute; for a moment; briefly; somewhat; rather; fairly; pretty; (not) easily; (not) readily; hey!; come on; excuse me,一寸,Adverb
なぜ,why; how,何故,Adverb
どうして,how; in what way; by what means; why; for what reason; for what purpose; what for; cannot possibly; no way,如何して,Adverb
ちょうど,exactly; precisely; just; right; as if; as though; quite,丁度,Adverb
きれい,pretty; lovely; beautiful; fair; clean; clear; pure; tidy; completely; entirely,綺麗,Na-adjective
しかし,however; but,然し,Conjunction
なくす,to lose (something); to mislay; to get rid of; to eliminate; to remove,無くす,Godan verb with su ending; Transitive verb
おいしい,delicious; tasty; sweet; attractive; appealing; convenient; favorable,美味しい,I-adjective
やさしい,easy; plain; simple,易しい,I-adjective
ページ,page,頁,Noun; Counter
