口述,こうじゅつ,verbal statement
控除,こうじょ,"subsidy, deduction"
向上,こうじょう,"elevation, rise, improvement, advancement, progress"
降水,こうすい,"rainfall, precipitation"
洪水,こうずい,flood
公然,こうぜん,"open (e.g. secret), public, official"
抗争,こうそう,"dispute, resistance"
構想,こうそう,"plan, plot, idea, conception"
拘束,こうそく,"restriction, restraint"
後退,こうたい,"retreat, backspace (BS)"
光沢,こうたく,"brilliance, polish, lustre, glossy finish (of photographs)"
公団,こうだん,public corporation
好調,こうちょう,"favourable, promising, satisfactory, in good shape"
口頭,こうとう,oral
講読,こうどく,"reading, translation"
購読,こうどく,subscription (e.g. magazine)
購入,こうにゅう,"purchase, buy"
公認,こうにん,"official recognition, authorization, licence, accreditation"
光熱費,こうねつひ,cost of fuel and light
荒廃,こうはい,ruin
購買,こうばい,"purchase, buy"
好評,こうひょう,"popularity, favorable reputation"
交付,こうふ,"delivering, furnishing (with copies)"
降伏,こうふく,"capitulation, surrender, submission"
興奮,こうふん,"excitement, stimulation, agitation, arousal"
公募,こうぼ,"public appeal, public contribution"
巧妙,こうみょう,"ingenious, skillful, clever, deft"
公用,こうよう,"government business, public use, public expense"
小売,こうり,retail
効率,こうりつ,efficiency
公立,こうりつ,public (institution)
小柄,こがら,short (build)
小切手,こぎって,"cheque, check"
国産,こくさん,domestic products
国定,こくてい,"state-sponsored, national"
国土,こくど,realm
告白,こくはく,"confession, acknowledgement"
国防,こくぼう,national defence
国有,こくゆう,national ownership
国連,こくれん,"U.N., United Nations"
漕ぐ,こぐ,"to row, to scull, to pedal"
焦げ茶,こげちゃ,black tea
個々,ここ,"individual, one by one"
箇箇,ここ,"individual, separate"
心地,ここち,"feeling, sensation, mood"
心得,こころえ,"knowledge, information"
心掛け,こころがけ,"readiness, intention, aim"
心掛ける,こころがける,"to bear in mind, to aim to do"
志,こころざし,"will, intention, motive"
志す,こころざす,"to plan, to intend, to aspire to, to set aims (sights on)"
心強い,こころづよい,"heartening, reassuring"
心細い,こころぼそい,"helpless, forlorn, hopeless, unpromising, lonely, discouraging, disheartening"
試み,こころみ,"trial, experiment"
試みる,こころみる,"to try, to test"
快い,こころよい,"pleasant, agreeable"
凝らす,こごらす,"to freeze, to congeal"
凝る,こごる,"to congeal, to freeze"
拵える,こしらえる,"to make, to manufacture"
孤児,こじ,orphan
拗れる,こじれる,"to get complicated, to grow worse"
故人,こじん,"the deceased, old friend"
梢,こずえ,treetop
個性,こせい,"individuality, personality, idiosyncrasy"
戸籍,こせき,"census, family register"
小銭,こぜに,"coins, small change"
固体,こたい,solid (body)
答え,こたえ,"answer, response"
堪える,こたえる,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t"
火燵,こたつ,"table with heater, (orig) charcoal brazier in a floor well"
古代,こだい,ancient times
誇張,こちょう,exaggeration
滑稽,こっけい,"funny, humorous, comical, laughable, ridiculous, joking"
国交,こっこう,diplomatic relations
骨董品,こっとうひん,curio
骨,こつ,"knack, skill"
固定,こてい,fixation
事柄,ことがら,"matter, thing, affair, circumstance"
悉く,ことごとく,"altogether, entirely"
言伝,ことづて,"declaration, hearsay"
殊に,ことに,"especially, above all"
事によると,ことによると,depending on the circumstances
孤独,こどく,"isolation, loneliness, solitude"
粉々,こなごな,in very small pieces
此の,この,this
この間,このあいだ,"the other day, lately, recently"
この頃,このごろ,recently
好ましい,このましい,"nice, likeable, desirable"
個別,こべつ,particular case
零す,こぼす,to spill
零れる,こぼれる,"to overflow, to spill"
細やか,こまやか,friendly
混む,こむ,to be crowded
込める,こめる,"to include, to put into"
篭る,こもる,"to seclude oneself, to be confined in, to be implied, to be stuffy"
固有,こゆう,"characteristic, tradition, peculiar, inherent, eigen-"
雇用,こよう,"employment (long term), hire"
暦,こよみ,"calendar, almanac"
堪える,こらえる,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t"
孤立,こりつ,"isolation, helplessness"
懲りる,こりる,"to learn by experience, to be disgusted with"
此れ,これ,this
