作り,つくり,"make-up, sliced raw fish"
造り,つくり,"make up, structure, physique"
造る,つくる,"to make, to create, to manufacture, to draw up, to write, to compose, to build, to coin, to cultivate, to org"
繕う,つくろう,"to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim"
接ぐ,つぐ,"to join, to piece together, to set (bones), to graft (trees)"
継ぐ,つぐ,to succeed
付け加える,つけくわえる,to add one thing to another
告げる,つげる,to inform
辻褄,つじつま,"coherence, consistency"
途中,つちゅう,"on the way, en route"
突っ張る,つっぱる,"to support, to become stiff, to become taut, to thrust (ones opponent), to stick to (ones opinion), to in"
筒,つつ,"pipe, tube"
銃,つつ,gun
突く,つつく,"1. to thrust, to strike, to attack, 2. to poke, to nudge, to pick at"
慎む,つつしむ,"to be careful, to be chaste or discreet, to abstain or refrain"
伝言,つてごと,"verbal message, rumor, word"
勤まる,つとまる,"to be fit for, to be equal to, to function properly"
勤め先,つとめさき,place of work
努めて,つとめて,"make an effort!, work hard!"
津波,つなみ,"tsunami, tidal wave"
抓る,つねる,to pinch
募る,つのる,"to invite, to solicit help participation etc"
唾,つば,"saliva, sputum"
呟く,つぶやく,"to mutter, to murmur"
瞑る,つぶる,to close the eyes
壷,つぼ,"tsubo jar, pot, vase"
蕾,つぼみ,"bud, flower bud"
躓く,つまずく,"to stumble, to trip"
摘む,つまむ,"to pinch, to hold, to pick up"
詰らない,つまらない,"insignificant, boring, trifling"
詰まり,つまり,"in short, in brief, in other words, that is to say, in the long run, after all, blockade, stuffing, ultimate"
積もり,つもり,"intention, plan"
露,つゆ,dew
強まる,つよまる,"to get strong, to gain strength"
強める,つよめる,"to strengthen, to emphasize"
連なる,つらなる,"to extend, to stretch out, to stand in a row"
貫く,つらぬく,to go through
連ねる,つらねる,"to link, to join, to put together"
釣り,つり,"fishing, angling"
吊り革,つりかわ,strap
釣鐘,つりがね,hanging bell
吊るす,つるす,to hang
手当て,てあて,"allowance, compensation, treatment, medical care"
体,てい,"appearance, air, condition, state, form"
提供,ていきょう,"offer, tender, program sponsoring, furnishing"
定義,ていぎ,definition
提携,ていけい,"cooperation, tie-up, joint business, link-up"
体裁,ていさい,"decency, style, form, appearance, show, get-up, format"
梯子,ていし,"ladder, stairs"
定食,ていしょく,"set meal, special (of the day)"
提示,ていじ,"presentation, exhibit, suggest, citation"
訂正,ていせい,"correction, revision"
停滞,ていたい,"stagnation, tie-up, congestion, retention, accumulation, falling into arrears"
邸宅,ていたく,"mansion, residence"
定年,ていねん,retirement age
堤防,ていぼう,"bank, weir"
手遅れ,ておくれ,"too late, belated treatment"
手数,てかず,"number of moves, trouble"
手掛かり,てがかり,"contact, trail, scent, on hand, hand hold, clue, key"
手掛ける,てがける,"to handle, to manage, to work with, to rear, to look after, to have experience with"
手軽,てがる,"easy, simple, informal, offhand, cheap"
的,てき,"-like, typical"
適応,てきおう,"adaptation, accommodation, conformity"
適宜,てきぎ,suitability
適性,てきせい,aptitude
手際,てぎわ,"performance, skill, tact"
手順,てじゅん,"process, procedure, protocol"
手錠,てじょう,"handcuffs, manacles"
手近,てぢか,"near, handy, familiar"
鉄鋼,てっこう,iron and steel
徹する,てっする,"to sink in, to penetrate, to devote oneself, to believe in, to go through, to do intently and exclusively"
鉄片,てっぺん,iron scraps
手配,てはい,"arrangement, search (by police)"
手筈,てはず,"arrangement, plan, programme"
手引き,てびき,"guidance, guide, introduction"
手本,てほん,"model, pattern"
手回し,てまわし,"preparations, arrangements"
手元,てもと,"on hand, at hand, at home"
照り返す,てりかえす,"to reflect, to throw back light"
手分け,てわけ,division of labour
店,てん,"store, shop, establishment"
点火,てんか,"ignition, lighting, set fire to"
転回,てんかい,"revolution, rotation"
転換,てんかん,"convert, divert"
転居,てんきょ,"moving, changing residence"
転勤,てんきん,"transfer, transmission"
点検,てんけん,"inspection, examination, checking"
転校,てんこう,change schools
天国,てんごく,"paradise, heaven, Kingdom of Heaven"
天才,てんさい,"genius, prodigy, natural gift"
天災,てんさい,"natural calamity, disaster"
展示,てんじ,"exhibition, display"
天井,てんじょう,"ceiling, ceiling price"
転じる,てんじる,"to turn, to shift, to alter, to distract"
点線,てんせん,"dotted line, perforated line"
天体,てんたい,heavenly body
転転,てんてん,"rolling about, moving from place to place, being passed around repeatedly"
転任,てんにん,change of post
展望,てんぼう,"view, outlook, prospect"
転落,てんらく,"fall, degradation, slump"
出合う,であう,"to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date"
出入り口,でいりぐち,exit and entrance
出来物,できもの,"able man, tumour, growth, boil, ulcer, abcess, rash, pimple"
出切る,できる,"to be out of, to have no more at hand"
出くわす,でくわす,"to happen to meet, to come across"
出鱈目,でたらめ,"irresponsible utterance, nonsense, nonsensical, random, haphazard, unsystematic"
出直し,でなおし,"adjustment, touch up"
田園,でんえん,"country, rural districts"
電源,でんげん,"source of electricity, power (button on TV etc.)"
伝説,でんせつ,"tradition, legend, folklore"
電線,でんせん,electric line
伝達,でんたつ,"transmission (e.g. news), communication, delivery"
伝来,でんらい,"ancestral, hereditary, imported, transmitted, handed down"
問い合わせる,といあわせる,"to enquire, to seek information"
問屋,といや,wholesale store
問う,とう,"to ask, to question, to charge (i.e. with a crime), to accuse, without regard to (neg)"
棟,とう,"place, section, building"
等,とう,"et cetera, etc., and the like"
陶器,とうき,"pottery, ceramics"
等級,とうきゅう,"grade, class"
討議,とうぎ,"debate, discussion"
登校,とうこう,attendance (at school)
統合,とうごう,"integration, unification, synthesis"
倒産,とうさん,"(corporate) bankruptcy, insolvency"
投資,とうし,investment
統治,とうじ,"rule, reign, government, governing"
統制,とうせい,"regulation, control"
当選,とうせん,"being elected, winning the prize"
逃走,とうそう,"flight, desertion, escape"
統率,とうそつ,"command, lead, generalship, leadership"
到達,とうたつ,"reaching, attaining, arrival"
到底,とうてい,(cannot) possibly
丁々,とうとう,"clashing of swords, felling of trees, ringing of an ax"
投入,とうにゅう,"throw, investment, making (an electrical circuit)"
当人,とうにん,"the one concerned, the said person"
逃亡,とうぼう,escape
冬眠,とうみん,"hibernation, winter sleep"
登録,とうろく,"registration, register, entry, record"
討論,とうろん,"debate, discussion"
遠ざかる,とおざかる,to go far off
遠回り,とおまわり,"detour, roundabout way"
通りかかる,とおりかかる,to happen to pass by
兎角,とかく,"anyhow, anyway, somehow or other, generally speaking, in any case, this and that, many, be apt to"
咎める,とがめる,"to blame, to find fault, to take someone to task, to aggravate (an injury)"
時折,ときおり,sometimes
跡切れる,とぎれる,"to pause, to be interrupted"
説く,とく,"to explain, to advocate, to preach, to persuade"
特技,とくぎ,special skill
特産,とくさん,"specialty, special product"
特集,とくしゅう,"feature (e.g. newspaper), special edition, report"
得点,とくてん,"score, points made, marks obtained, runs"
特派,とくは,"send specially, special envoy"
特有,とくゆう,"characteristic (of), peculiar (to)"
研ぐ,とぐ,"to sharpen, to grind, to scour, to hone, to polish, to wash (rice)"
刺,とげ,"thorn, splinter, spine, biting words"
遂げる,とげる,"to accomplish, to achieve, to carry out"
床,とこ,"bed, sickbed, alcove, padding"
所が,ところが,"however, while, even if"
所で,ところで,"by the way, even if, no matter what"
年頃,としごろ,"age, marriageable age, age of puberty, adolescence, for some years"
年寄り,としより,"old people, the aged"
戸締り,とじまり,"closing up, fastening the doors"
途上,とじょう,"en route, half way"
綴じる,とじる,"to bind, to file"
