灯台,とうだい,lighthouse
盗難,とうなん,"theft,robbery"
当番,とうばん,being on duty
等分,とうぶん,division into equal parts
透明,とうめい,"transparency,cleanness"
灯油,とうゆ,"lamp oil,kerosene"
東洋,とうよう,Orient
童話,どうわ,fairy tale
通り掛かる,とおりかかる,to happen to pass by
溶かす,とかす,"to melt,to dissolve"
尖る,とがる,"to taper to a point,to become sharp,to be sour,to look displeased"
溶く,とく,to dissolve (paint)
退く,どく,"(1) to retreat,to recede,to withdraw"
特殊,とくしゅ,"special,unique"
特色,とくしょく,"characteristic,feature"
特長,とくちょう,"forte,merit"
特定,とくてい,"specific,special,particular"
特売,とくばい,special sale
溶け込む,とけこむ,to melt into
溶ける,とける,"to melt,to thaw,to fuse,to dissolve"
退ける,どける,"to remove,to take away,to dislodge,to put something out of the way"
床の間,とこのま,alcove
床屋,とこや,barber
所々,ところどころ,"here and there,some parts (of something)"
都心,としん,heart (of city)
戸棚,とだな,"cupboard,locker,closet,wardrobe"
整う,ととのう,"to be prepared,to be in order,to be put in order,to be arranged"
留まる,とどまる,"(1) to be fixed,(2) to abide,to stay (in the one place)"
飛び込む,とびこむ,"to jump in,to leap in,to plunge into,to dive"
跳ぶ,とぶ,"to jump,to fly,to leap"
留まる,とまる,"(1) to be fixed,(2) to abide,to stay (in the one place)"
泊める,とめる,"to give shelter to,to lodge"
捕える,とらえる,"to seize,to grasp,to capture,to arrest"
取り入れる,とりいれる,"to harvest,to take in,to adopt"
取り消す,とりけす,to cancel
取り出す,とりだす,"to take out,to produce,to pick out"
採る,とる,"(1) to adopt (measure, proposal),(2) to pick (fruit)"
捕る,とる,"to take,to catch (fish),to capture"
丼,どんぶり,"porcelain bowl,bowl of rice with food on top"
内科,ないか,"internist clinic,internal medicine"
内線,ないせん,"phone extension,indoor wiring,inner line"
治す,なおす,"to cure,to heal,to fix,to correct,to repair"
永い,ながい,"long,lengthy"
仲直り,なかなおり,"reconciliation,make peace with"
長引く,ながびく,"to be prolonged,to drag on"
中身,なかみ,"contents,interior,substance,filling,(sword) blade"
中味,なかみ,"contents,interior,substance,filling,(sword) blade"
中指,なかゆび,middle finger
仲良し,なかよし,"intimate friend,bosom buddy,chum"
慰める,なぐさめる,"to comfort,to console"
亡くす,なくす,"to lose someone, wife, child, etc"
為す,なす,"to accomplish,to do"
謎謎,なぞなぞ,"riddle,puzzle,enigma"
傾らか,なだらか,gently sloping; gentle; easy; smooth
懐かしい,なつかしい,"dear,desired,missed"
撫でる,なでる,"to brush gently,to stroke"
斜め,ななめ,obliqueness
何々,なになに,"such and such,What?"
何分,なにぶん,"what minute?,how many minutes?"
生意気,なまいき,"impertinent,saucy,cheeky,conceit,audacious,brazen"
並木,なみき,"roadside tree,row of trees"
倣う,ならう,"to imitate,to follow,to emulate"
鳴らす,ならす,"to ring,to sound,to chime,to beat,to snort (nose)"
生る,なる,to bear fruit
馴れる,なれる,"to become domesticated,to become tame"
南極,なんきょく,"south pole,Antarctic"
南米,なんべい,South America
南北,なんぼく,south and north
