,あっ,"Ah!,Oh!"
,アイスクリーム,ice cream
,あいにく,"unfortunately,Sorry, but...."
,アイロン,(electric) iron
,アウト,out
,あした,tomorrow
,あちこち,here and there
,あと,"(1) trace,tracks,(2) remains,ruins,(3) scar"
,あらゆる,"all,every"
,ありがとう,"(conj,exp,int) Thank you"
,あるいは,"or,possibly"
,アルバム,album
,あんなに,"to that extent,to that degree"
,あんまり,"not very,not much,remainder,rest"
,いい,good
,よい,"good,nice,pleasant,ok"
,いけない,"must not do,bad,wrong,not good"
,いずれ,"where,which,who"
,いたずら,"tease,prank,trick,practical joke"
,いただきます,expression of gratitude before meals
,いち,"market,fair"
,いつか,"sometime,someday,one day"
,いつでも,"(at) any time,always,at all times,never (neg)"
,いつまでも,"forever,for good,eternally,as long as one likes,indefinitely"
,いらいら,"getting nervous,irritation"
,いらっしゃい,welcome
,いわゆる,"the so-called,so to speak"
,インク,ink
,ウイスキー,whisky
,うがい,"gargle,rinse mouth"
,うなる,"to groan,to moan"
,うるさい,"noisy,loud,fussy"
,エネルギー,(n) energy (de: Energie)
,エンジン,engine
,オーバー,"(1) overcoat,(2) over"
,おじいさん,"grandfather,male senior-citizen"
,おしゃべり,"chattering,talk,idle talk"
,おそらく,perhaps
,オフィス,office
,おまえ,"(fam) you (sing),presence (of a high personage)"
,おめでとう,"Congratulations!,an auspicious occasion!"
,おや,parents
,およそ,"about,roughly,as a rule,approximately"
,カー,car
,カード,"card,curd"
,がっかり,"feel disappointed,be dejected,lose heart"
,かなり,"considerably,fairly,quite"
,かもしれない,"may,might,perhaps,may be,possibly"
,かわいそう,"poor,pitiable,pathetic"
,かわいらしい,"lovely,sweet"
,きちんと,"precisely,accurately"
,きつい,"tight,close,intense"
,キャプテン,captain
,キャンプ,camp
,キロ,"(abbr) kilo-,kilogram,kilometre,10^3"
,ぐっすり,"sound asleep,fast asleep"
,クラシック,classic(s)
,グラス,"(1) glass,(2) grass"
,グランド,"gland,grand,(electrical) ground"
,クリーム,cream
,クリスマス,Christmas
,グループ,group
,ケース,case
,ゲーム,game
,けち,"stinginess,miser,miserliness"
,コーチ,coach
,コード,"code,cord,chord"
,ゴール,goal
,コピー,"(1) a (photo)copy,(2) blurb on a book jacket"
,ごめんなさい,"I beg your pardon,excuse me"
,これら,these
,こんなに,"so,like this,in this way"
,こんにちは,"hello,good day (daytime greeting, id)"
,コンピューター,computer
,サービス,"(1) service,support system,(2) goods or services without charge"
,サイン,"(1) autograph,(2) sign,(3) sine"
,ざっと,"roughly,in round numbers"
,さっぱり,"feeling refreshed,feeling relieved,neat,trimmed"
,さて,"well,now,then"
,ジーンズ,jeans
,しかも,"moreover,furthermore,nevertheless,and yet"
,しきりに,"frequently,repeatedly,incessantly,eagerly"
,じっと,"fixedly,firmly,patiently,quietly"
,しばしば,"often,again and again,frequently"
,しまった,Damn it!
,じゃあ,"well,well then"
,しゃべる,"to talk,to chat,to chatter"
,ジュース,"juice,soft drink,deuce"
,スイッチ,switch
,スープ,(Western) soup
,スキー,skiing
,スケート,"skate(s),skating"
,すごい,"terrible,dreadful,terrific,amazing,great"
,スター,star
,スタイル,style
,スタンド,stand
,ずっと,"consecutively,throughout,a lot"
,すてき,"lovely,dreamy,beautiful,great"
,すなわち,"that is,namely,i.e."
,スピーチ,speech
,すみません,"sorry,excuse me"
,セット,set
,センター,a center
,そこで,"so (conj),accordingly,now,then,thereupon"
,そして,and
,そっくり,"all,altogether,entirely,be just like,the splitting image of"
,そのうち,"eventually,sooner or later,of the previously mentioned"
,そのまま,"without change,as it is (i.e. now)"
,ソファー,"sofa,couch"
,それぞれ,"each,every,either,respectively,severally"
,それでも,"but (still),and yet,nevertheless,even so,notwithstanding"
,それと,and then; in addition to that; also; even so
,それとも,"or,or else"
,タイプライター,typewriter
,ダイヤ,"(1) dyer,(2) diagram,(3) (railway) schedule,(4) diamond"
,タオル,(hand) towel
,だが,but; however; (and) yet; nevertheless; still; for all that
,だけど,however
,ただ,"free of charge,mere,only"
,だって,"but,because,even,also,too"
,たっぷり,"full,in plenty,ample"
,たとえ,"simile,metaphor,allegory"
,たびたび,"often,repeatedly,frequently"
,たまらない,"intolerable,unbearable,unendurable"
,ダンス,dance
,チーズ,cheese
,チーム,team
,チャンス,"chance,opportunity"
,ちゃんと,"perfectly,properly,exactly"
,ちょうだい,"(1) please do for me (preceded by -te),(2) reception,being given,get"
,つまり,"in short,in brief,in other words"
,で,"outflow,coming (going) out,graduate (of)"
,デート,"date,go on a date"
,できれば,if possible
,ですから,therefore
,デモ,"(abbr) demo,demonstration"
,テント,tent
,どうか,copper coin
,どうしても,"by all means,at any cost,no matter what"
,どこか,"somewhere,anywhere"
,ところが,"however,while,even if"
,ところで,"by the way,even if,no matter what"
,トップ,top
,とにかく,"anyhow,at any rate,anyway,somehow or other,generally speaking,in any case"
,ドライブ,"drive,trip by car,driving"
,トラック,"(1) truck,(2) (running) track"
,ドラマ,drama
,トランプ,playing cards (lit: trump)
,ドレス,dress
,とんでもない,"unexpected,offensive,What a thing to say!,No way!"
,どんな,"what,what kind of"
,どんなに,"how,how much"
,トンネル,tunnel
,なお,"straight,mischief,ordinary,common"
,なかなか,"very,considerably,easily"
,なぜなら,because
,なにも,nothing
,にっこり,"smile sweetly,smile,grin"
,ノー,no
,ノック,"(1) knock,(2) fungo (baseball)"
,のんびり,"carefree,at leisure"
,はあ,1. yes; indeed; well​ 2. ha!​ 3. what?; huh?​ 4. sigh
,パーセント,percent
,バイオリン,violin
,ハイキング,hiking
,パイプ,"(1) pipe,tube,(2) channels, official or otherwise"
,パイロット,pilot
,はさみ,scissors
,パス,"path,pass (in games)"
,パスポート,passport
,バッグ,"bag,bug"
,ばったり,"with a clash (thud),with a bang,plump,flop"
,バン,"bun,van (caravan),VAN (value-added network)"
,ハンサム,handsome
,ビール,beer
,ピクニック,picnic
,びっくり,"be surprised,be amazed,be frightened,astonishment"
,ぴったり,"exactly,neatly,sharp"
,ビデオ,video
,ピン,pin
,プラス,plus
,プラン,plan
,ブレーキ,a brake
,プロ,professional
,ベルト,Belt for western clothes
,ペンキ,(n) paint (nl: pek)
,ベンチ,bench
,ボーイ,boy
,ボート,rowing boat
,ホーム,"(1) platform,(2) home"
,ボール,"ball,bowl"
,ほぼ,"almost,roughly,approximately"
,ぼんやり,"absent-minded,block-head,dim,faint,vague"
,まあ,(female) you might say
,マーケット,market
,マイク,mike
,まさか,by no means
,まさに,"correctly,surely"
,マスター,"proprietor,manager,barowner,master (e.g. arts, science)"
,ますます,"increasingly,more and more"
,ママ,Mama
,まるで,"quite,entirely,completely"
,ミス,"miss (mistake, error, failure),Miss"
,ミルク,milk
,メモ,memorandum
,メンバー,member
,もしも,if
,やがて,"before long,soon,at length"
,やはり,"also,as I thought,still,in spite of,absolutely,of course"
,やや,"a little,partially,somewhat,a short time,a while"
,ユーモア,humor
,ゆっくり,"slowly,at ease"
,ヨーロッパ,Europe
,ヨット,yacht
,より,"twist,ply"
,よると,according to
,ライター,"lighter,rider,writer"
,ラケット,"paddle,racket"
,レポート,"report,paper"
,ロケット,"locket,rocket"
,ワイン,wine
,わがまま,"selfishness,egoism,wilfulness,disobedience,whim"
,わざと,on purpose
