知事,ちじ,prefectural governor
知識,ちしき,"knowledge,information"
父親,ちちおや,father
知能,ちのう,"intelligence,brains"
地平線,ちへいせん,horizon
地方,ちほう,"area,locality,district,region,the coast"
茶,ちゃ,tea
中,ちゅう,"inside,middle,among"
注,ちゅう,"annotation,explanatory note"
中央,ちゅうおう,"centre,central,center,middle"
中学,ちゅうがく,"middle school,junior high school"
中古,ちゅうこ,"(1) used,second-hand,old"
中止,ちゅうし,"suspension,stoppage,discontinuance,interruption"
駐車,ちゅうしゃ,parking (e.g. car)
昼食,ちゅうしょく,"lunch,midday meal"
中心,ちゅうしん,"center,core,heart,pivot,emphasis,balance"
注目,ちゅうもく,"notice,attention,observation"
注文,ちゅうもん,"order,request"
長期,ちょうき,long time period
調査,ちょうさ,"investigation,examination,inquiry,survey"
調子,ちょうし,"tune,tone,key"
頂上,ちょうじょう,"top,summit,peak"
貯金,ちょきん,(bank) savings
直接,ちょくせつ,"direct,immediate,personal,firsthand"
著者,ちょしゃ,"author,writer"
遂に,ついに,"finally,at last"
通過,つうか,"passage through,passing"
通学,つうがく,commuting to school
通行,つうこう,"passage,passing"
通じる,つうじる,"to run to,to lead to,to communicate,to understand"
通信,つうしん,"correspondence,communication,news,signal"
捕まる,つかまる,"to be caught,to be arrested"
掴む,つかむ,"to seize,to catch,to grasp"
疲れ,つかれ,"tiredness,fatigue"
月,つき,"moon,month"
付き合い,つきあい,"association,socializing,fellowship"
次々,つぎつぎ,"in succession,one by one"
就く,つく,"to settle in (place),to take (seat, position),to study (under teacher)"
注ぐ,つぐ,"to pour (into),to irrigate,to pay"
付ける,つける,"to attach,to join,to add,to append"
土,つち,"earth,soil"
続き,つづき,"sequel,continuation"
包み,つつみ,"bundle,package,parcel,bale"
勤め,つとめ,"(1) service,duty,business,responsibility,task,(2) Buddhist religious services"
務め,つとめ,"(1) service,duty,(2) Buddhist religious services"
繋ぐ,つなぐ,"to tie,to fasten,to connect,to transfer (phone call)"
常に,つねに,"always,constantly"
翼,つばさ,wings
罪,つみ,"crime,fault,indiscretion"
詰める,つめる,"to pack,to shorten,to work out (details)"
積もる,つもる,to pile up
梅雨,つゆ,"rainy season,rain during the rainy season"
辛い,つらい,"painful,heart-breaking"
釣,つり,fishing; angling
連れ,つれ,"companion,company"
出会い,であい,"meeting,rendezvous,encounter"
出会う,であう,"to meet by chance,to come across,to happen to encounter"
提案,ていあん,"proposal,proposition,suggestion"
定期,ていき,fixed term
抵抗,ていこう,"electrical resistance,resistance,opposition"
提出,ていしゅつ,"presentation,submission,filing"
程度,ていど,"degree,amount,grade,standard,of the order of (following a number)"
停留所,ていりゅうじょ,bus or tram stop
敵,てき,"enemy,rival"
出来事,できごと,"incident,affair,happening,event"
適する,てきする,"to fit,to suit"
適切,てきせつ,"pertinent,appropriate,adequate,relevance"
適度,てきど,moderate
適用,てきよう,applying
出来る,できる,"to be able to,to be ready,to occur (usually kana)"
出来るだけ,できるだけ,if at all possible
手品,てじな,"sleight of hand,conjuring trick,magic,juggling"
鉄,てつ,iron
哲学,てつがく,philosophy
手伝い,てつだい,"help,helper,assistant"
徹底,てってい,"thoroughness,completeness"
鉄道,てつどう,railroad
徹夜,てつや,"all night,all night vigil,sleepless night"
では,では,"chance of going out,opportunity (to succeed),moment of departure,beginning of work"
手間,てま,"time,labour"
でも,でも,"but,however"
典型,てんけい,"type,pattern,archetypal"
天候,てんこう,weather
電子,でんし,electron
伝統,でんとう,"tradition,convention"
天然,てんねん,"nature,spontaneity"
度,ど,counter for occurrences
問い,とい,"question,query"
党,とう,party (political)
塔,とう,"tower,pagoda"
答案,とうあん,"examination paper,examination script"
同一,どういつ,"identity,sameness,similarity"
当時,とうじ,"at that time,in those days"
動詞,どうし,verb
同時,どうじ,"simultaneous(ly),concurrent,same time,synchronous"
到着,とうちゃく,arrival
道徳,どうとく,morals
投票,とうひょう,"voting,poll"
同様,どうよう,"identical,equal to,same (kind),like"
同僚,どうりょう,"coworker,colleague,associate"
道路,どうろ,"road,highway"
十,とお,"10,ten"
通す,とおす,"to let pass,to overlook,to continue"
通り,とおり,"in accordance with ~,following ~,~ Street,~ Avenue"
通り過ぎる,とおりすぎる,"to pass,to pass through"
都会,とかい,city
時,とき,"(1) time,hour,(2) occasion,moment"
解く,とく,to unfasten
毒,どく,"poison,toxicant"
得意,とくい,"pride,triumph,prosperity"
読書,どくしょ,reading
独身,どくしん,"bachelorhood,single,unmarried,celibate"
特徴,とくちょう,"feature,characteristic"
独特,どくとく,"peculiarity,uniqueness,characteristic"
独立,どくりつ,"independence (e.g. Ind. Day),self-support"
解ける,とける,"to come untied,to come apart"
登山,とざん,mountain-climbing
都市,とし,"town,city,municipal,urban"
年月,としつき,months and years
図書,としょ,books
年寄,としより,"old people,the aged"
閉じる,とじる,"to close (e.g. book, eyes),to shut"
途端,とたん,"just (now, at the moment, etc.)"
土地,とち,"plot of land,lot,soil"
突然,とつぜん,"abruptly,suddenly,unexpectedly,all at once"
届く,とどく,to reach
飛ばす,とばす,"to skip over,to omit"
飛び出す,とびだす,"to jump out,to rush out,to fly out"
留める,とめる,"to fasten,to turn off,to detain"
友,とも,"friend,companion,pal"
共に,ともに,"sharing with,participate in"
土曜,どよう,Saturday
虎,とら,tiger
取り上げる,とりあげる,"to take up,to pick up,to disqualify,to confiscate,to deprive"
努力,どりょく,"great effort,exertion,endeavour,effort"
どれ,どれ,"well,now,let me see,which (of three or more)"
取れる,とれる,"to come off,to be taken off,to be removed"
泥,どろ,mud
屯,とん,"ton (now usu. a metric ton, i.e. 1,000kg); tonne(usually kana)"
名,な,"name,reputation"
内容,ないよう,"subject,contents,matter,substance,detail,import"
仲,なか,"relation,relationship"
流す,ながす,"to drain,to float,to shed (blood, tears),to cruise (e.g. taxi)"
半ば,なかば,"middle,half,semi,halfway,partly"
仲間,なかま,"company,fellow,colleague,associate"
眺め,ながめ,"scene,view,prospect,outlook"
眺める,ながめる,"to view,to gaze at"
流れ,ながれ,"stream,current"
流れる,ながれる,"to stream,to flow,to run (ink),to be washed away"
無し,なし,without
謎,なぞ,"riddle,puzzle,enigma"
納得,なっとく,"consent,assent,understanding"
等,など,"et cetera,etc.,and the like"
七,なな,seven
何,なに,what
何,なん,what
何か,なにか,something
鍋,なべ,"saucepan,pot"
生,なま,"(1) draft (beer),(2) raw,unprocessed"
怠ける,なまける,"to be idle,to neglect"
波,なみ,wave
涙,なみだ,tear
悩む,なやむ,"to be worried,to be troubled"
為る,なる,"to change,to be of use,to reach to"
成る,なる,to become
縄,なわ,"rope,hemp"
何で,なんで,"Why?,What for?"
何でも,なんでも,"by all means,everything"
何とか,なんとか,"somehow,anyhow,one way or another"
似合う,にあう,"to suit,to match,to become,to be like"
匂い,におい,"odour,scent,smell,stench"
苦手,にがて,"poor (at),weak (in),dislike (of)"
握る,にぎる,"to grasp,to seize,to mould sushi"
日,にち,"sun,sunshine,day"
日常,にちじょう,"ordinary,regular,everyday,usual"
日曜,にちよう,Sunday
日光,にっこう,sunlight
日中,にっちゅう,"daytime,broad daylight"
日本,にっぽん,Japan
日本,にほん,Japan
入院,にゅういん,hospitalization
入学,にゅうがく,"entry to school or university,matriculation"
入場,にゅうじょう,"entrance,admission,entering"
人気,にんき,sign of life
人間,にんげん,"human being,man,person"
抜く,ぬく,"to extract,to omit,to surpass,to draw out,to unplug"
